Dessert	Ingredients
Almond tart	almonds, eggs, milk, sugar, flour
Angel food cake	egg whites, sponge, sugar
Apple brown betty	apples, crumbs, butter, brown sugar
Apple Charlotte	apples, sugar, butter, bread slices
Apple crumble	apples, flour, sugar, butter
Banana muffins	bananas, flour, eggs, milk, sugar
Banoffee pie	bananas, cream, toffee, biscuit crumbs
Battenberg cake	sponge, jam, marzipan
Belgian waffles	eggs, milk, flour, sugar, vanilla essence
Biscotti Regina	sesame seeds, orange zest, flour, eggs, milk
Biscuit Tortoni	heavy cream, almonds, chocolate chips, rum
Black Forest gateau	cherries, cocoa powder, eggs, flour, whipped cream, kirsch, chocolate curls
Blueberry pie	blueberries, butter, milk, sugar, flour
Boston cream pie	heavy cream, buttermilk, flour, button, sugar
Bread and butter pudding	bread slices, sugar, butter, milk, eggs, cinnamon
Bundt cake	eggs, milk, flour, sugar, lemon zest
Butterkuchen	eggs, butter, flour, sugar
Butterscotch pie	brown sugar, egg yolks, cornstarch, milk
Cake pops	eggs, butter, flour, sugar
Capuccino chocolate muffins	coffee powder, eggs, butter, flour, sugar
Caraway seed cake	caraway seeds, eggs, butter, flour, sugar
Carrot cake	shredded carrots, sultanas, orange zest, cinnamon, nutmeg, flour, eggs
Cassata cake	ricotta cheese, cornstarch, butter, flour, citrus oil, vanilla essence
Castella cake	sugar, flour, eggs, starch syrup
Chantilly cake	heavy cream, flour, butter, eggs
Chelsea buns	sugar, flour, eggs, starch syrup, sultanas, raisins
Cherries Jubilee	cherries, cherry liqueur, vanilla ice cream
Cherry pie	cherries, butter, sugar, flour
Chiffon cake	vegetable oil, eggs, sugar, flour, icing sugar
Chocolate bombe	ground almonds, cocoa powder, flour, vanilla essence, heavy cream, chocolate
Chocolate brownies	chocolate chips, cocoa powder, flour, eggs, sugar, milk
Chocolate chip cookies	chocolate chips, cocoa powder, flour, eggs, sugar, milk
Chocolate chip scones	chocolate chips, cocoa powder, flour, eggs, sugar, milk, baking powder
Chocolate eclairs	choux pastry, chocolate fondant, heavy cream
Chocolate fudge cake	golden syrup, cocoa powder, flour, eggs, milk
Chocolate ganache cake	brown sugar, cocoa powder, flour, eggs, chocolate ganache
Chocolate lava cake	butter, chocolate, cocoa powder, egg yolks, vanilla essence
Chocolate mousse	chocolate, cocoa powder, orange zest, egg yolks, egg whites, sugar
Chocolate pralines	hazelnuts, almonds, chocolate, sugar, pecans, cream
Chocolate truffles	chocolate ganache, cocoa powder, toasted nuts, heavy cream
Christmas fruitcake	dried cherries, raisins, sultanas, dried cranberries, brandy, flour, eggs, milk, sugar, nutmeg
Cinnamon rolls	flour, cinnamon, sugar, butter
Coconut cake	shredded coconut, flour, milk, eggs, sugar
Coconut Macaroons	shredded coconut, condensed milk, egg whites, sugar
Coffee cake	coffee powder, flour, milk, sugar, eggs
Cracker cake	saltines, blueberries, cool whip, sugar
Crème brûlée	vanilla essence, eggs, milk, sugar
Crepes Suzette	flour, eggs, sugar, milk, orange juice, orange zest, Grand Marnier
Crumb cake	crumbs, brown sugar, butter, flour, cinnamon
Custard tarts	custard, butter, flour, sugar, egg yolks, milk
Devil's food cake	cocoa powder, coffee powder, sugar, milk, flour, chocolate, eggs, vanilla essence
Double chocolate muffins	cocoa powder, chocolate chips, eggs, flour, butter, milk, sugar
Dundee cake	sultanas, orange zest, eggs, sugar, flour, butter, currants, almonds
Eccles cakes	currants, brown sugar, butter, flour, cinnamon, ground ginger, orange zest
Flourless chocolate cake	no flour, chocolate, cocoa powder, egg whites, egg yolks, sugar
Foam cake	butter, sugar, egg whites, baking powder
Fruit flan	flour, butter, sugar, heavy cream, blueberries, apples, bananas
Fruit salad	blueberries, apples, bananas
Funnel cakes	eggs, flour, sugar, vegetable oil, baking powder, cinnamon
Gelato	milk, sugar, egg yolks, cream, vanilla essence
German chocolate cake	butter, sugar, chocolate, egg yolks, egg whites, shredded coconut, chopped pecans, buttermilk 
Gingerbread house	golden syrup, ground ginger, flour, butter
Gingerbread men	golden syrup, ground ginger, flour, butter, chocolate buttons
Gooey butter cake	flour, butter, sugar, eggs, vanilla essence, cream cheese
Gugelhupf cake	egg yolks, egg whites, butter, cocoa powder, flour, milk, icing sugar
Hot cakes with syrup	eggs, flour, sugar, baking powder, golden syrup
Hot milk cake	eggs, butter, flour, sugar, hot milk, vanilla essence
Hummingbird cake	crushed pineapple, bananas, pecans, eggs, vanilla essence, cinnamon, flour
Ice cream cake	ice cream, flour, eggs, sugar, butter
Ice cream sundaes	ice cream, chocolate sauce, pecans
Jaffa cakes	chocolate, flour, eggs, flour, sugar, orange zest, gelatin
Jam rolly polly	jam, flour, eggs, sugar, butter
Jam tart	jam, flour, eggs, sugar, butter
Jamaican rum cake	rum, ground ginger, flour, eggs, butter
Jewish apple cake	apples, orange juice, vanilla essence, cinnamon, eggs, flour, sugar
Kentucky jam cake	buttermilk, pecans, jam, raisins, eggs, butter, cinnamon, ground cloves
Ladyfinger biscuits	egg whites, egg yolks, sugar, flour
Lamington cake	chocolate, heavy cream, shredded coconut, flour, vanilla essence
Lardy cake	lard, sugar, flour, milk, ground ginger, ground cloves
Layer cake	ground almonds, buttercream, flour, sugar, eggs, butter
Lemon citrus tart	lemon zest, egg yolks, butter, flour, sugar, lemon juice
Lemon drizzle cake	lemon zest, eggs, butter, flour, sugar, lemon juice
Lemon meringue pie	egg yolks, egg whites, meringue, lemon juice, lemon zest, sugar, flour, butter
Madeira cake	butter, milk, sugar, eggs
Madeleines	eggs, sugar, flour, lemon zest, sugar, baking powder
Chocolate marble cake	sugar, flour, cocoa powder, eggs, vanilla essence
Marzipan cake	marzipan, almond paste, ground almonds, sugar, eggs
Meringue cake	cornstarch, sugar, meringue, heavy cream, egg whites
Millionaire's shortbread squares	flour, butter, golden syrup, dark chocolate, condensed milk
Molasses cake	molasses, brown sugar, ground ginger, cinnamon, flour, coffee powder
Molten chocolate cake	dark chocolate, flour, eggs, butter, vanilla essence
Napoleon cream slice	heavy cream, sugar, butter, flour
Neapolitan ice cream	ice cream, wafers
New York cheesecake	cream cheese, biscuit crumbs, heavy cream, golden syrup, lemon zest
Nutella pancakes	Nutella, eggs, flour, milk
Pain d'Epices	rye flour, ground ginger, cinnamon, eggs
Pan Forte	hazelnuts, almonds, ground ginger, cinnamon, orange zest, honey, flour
Pandan cake	egg yolks, coconut milk, sugar, egg whites, pandan leaves
Panna cotta	vanilla essence, eggs, heavy cream, sugar, fresh mint, liqueur
Pannetone	bread slices, sugar, butter, milk, eggs, cinnamon
Pavlova	cornflour, vanilla essence, egg whites, sugar
Peach Melba	peaches, vanilla essence, sugar, lemon juice
Peanut butter cups	peanut butter, chocolate, sugar
Pear flan	pears, milk, sugar, flour, eggs
Pecan pie	pecans, golden syrup, flour, eggs
Petit fours	sugar, butter, flour, eggs
Poire belle Helene	pears, sugar, lemon juice, vanilla essence, chocolate, heavy cream
Pound cake	butter, sugar, eggs, flour, vanilla essence
Prinzregententorte	chocolate, buttercream, apricot jam, flour, eggs, sugar
Profiteroles and chocolate sauce	flour, eggs, butter, heavy cream, chocolate
Pumpkin pie	pumpkin, cinnamon, eggs, milk, flour
Punschkrapfen	orange zest, rum, apricot jam, chocolate, butter, flour
Red velvet cake	chocolate, cocoa powder, beetroot juice, eggs, vanilla essence, sugar
Rice Krispie cakes	Rice Krispies, chocolate
Rice pudding	white rice, milk, sugar, cinnamon
