Ingredient	Count	Substitutions
flour	96	gypsum, cement, road grit, powdered bones, baby powder, uncut heroin, papier maché, chalk dust, powdered bat guano, talcum powder, powdered soap, ashes of a cremated loved one, radioactive desert sand, granite dust, flea powder, Shake-n-Vac, coffin dust
sugar	82	broken glass, powdered glass, pebble dash, rock salt, road grit, powdered crystal meth, frog spawn, anthrax spores
eggs	73	snake embryos, burst eyeballs, pickled goat's eyes, rotten eggs
butter	61	yellow paint, rancid butter, liposuctioned fat, cow's ear wax, hamburger helper, whale blubber, pond scum, melted plastic
milk	35	white paint, white-out fluid, milk of Magnesia, wood glue, shampoo, baby vomit, camel drool, rat milk, sheep dip, industrial effluent
vanilla essence	29	arsenic, cyanide powder, cheap aftershave, crushed laxatives, ant eggs, flop sweat, mildew, Polonium-210, Febreze, armpit sweat
chocolate	21	roofing tar, melted tarmac, hot tar, elephant dung, lumps of clay, swamp mud, diaper filling, used coffee grounds, shoe polish
heavy cream	20	plaster of Paris, tiling grout, yellow snow, wallpaper paste, year-old crusty mayonnaise, hemorrhoid cream, drain cleaner, whale blubber, liposuction fat, lumpy white paint
cocoa powder	19	dirt, fistfuls of earth, toxic sludge, India ink, soot, Shake-and-Vac
egg yolks	19	melted pingpong balls, yellow golfballs, zit pus
cinnamon	18	brick dust, rat droppings, fire ants, cobwebs
egg whites	15	chicken drool, cow's saliva, eyeball jelly, frog spawn, liquid detergent, denture glue, pond scum, liposuction fat
orange zest	12	tennis-ball fluff, sunburnt skin flakes, sunburnt cellulite, congealed fake tan, fake tan and cellulite, bellybutton lint
golden syrup	11	dog phlegm, cat vomit, wood varnish, floor polish
brown sugar	10	used kitty litter, crushed gravel
ground ginger	9	skunk musk, toenail clippings, fingernail clippings, eye crud, clown dandruff, foot fungus, concentrated wasabi, pet kibble
apples	8	wax apples, green tennis balls, apple cores, snooker balls, worm-filled apples
lemon zest	8	canary droppings, ear wax, yellow paint scrapings, lemon-scented air freshener
sultanas	7	cod-liver oil capsules, moth balls, used suppositories, pus-filled zits, sour grapes, bubblewrap
almonds	6	false fingernails, broken teeth, snake fangs, pistachio shells, snake scales, small-caliber bullets, date pits, olive pits
icing sugar	6	powdered glass, dandruff, hobo dandruff, anthrax
lemon juice	6	battery acid, acetone, cat pee, napalm, mouthwash
chocolate chips	5	dead flies, rat droppings
rum	5	gasoline, kerosene, paint stripper, pickled pirate blood, lighter fluid, bug spray, paint thinner, diesel
cherries	5	cherry bombs, red ball-bearings
cornstarch	5	washing powder, laundry starch
