Category	Super Category	Super Category	Super Category	Super Category	Super Category	Super Category	
Academic	Smart Person						
Action Star	Actor	Entertainer	Performer	Creative Professional	Professional		
Activist	Campaigner						
Actor	Entertainer	Performer	Creative Professional	Professional			
Actress	Entertainer	Performer	Creative Professional	Professional			
Adman	Writer	Creative Professional	Professional				
Administrator	Bureaucrat	Professional					
Adulteress	Cheat	Wrongdoer	Unpleasant Person	Woman			
Adventurer	Hero						
Advisor	Consultant	Assistant	Helper				
Advocate	Person						
AI Program Villain	Artificial Person	Villain	Wrongdoer				
Alcoholic	Drunkard						
Alien	Outsider	Foreigner					
Ambulance Chaser	Lawyer	Scrounger	Unpleasant Person				
Analyst	Professional						
Anchorman	Presenter	Performer	Professional				
Android	Artificial Person						
Animal	Entity						
Apostle	Religious Activist	Activist	Campaigner	Religious Person			
Archeologist	Historian	Academic	Professional				
Architect	Designer	Creative Professional	Professional				
Aristocrat	Nobleman						
Artificial Person	Person						
Artist	Creator	Creative Professional	Professional				
Ascetic	Lifestyle Advocate						
Assassin	Killer	Wrongdoer					
Assistant	Helper						
Associate	Person						
Astronaut	Explorer	Pilot	Hero				
Astronomer	Scientist	Academic	Professional				
Atheist	Religious Activist	Activist	Campaigner	Lifestyle Advocate			
Athlete	Sportsman	Competitor	Contestant	Strong Person			
Autocrat	Political Leader	Leader	Bully	Oppressor	Unpleasant Person		
Aviator	Pilot	Rider	Vehicle User				
Aviatrix	Pilot	Rider	Vehicle User				
Bachelor	Lifestyle Advocate						
Baker	Tradesman						
Bank Robber	Thief	Robber	Wrongdoer	Criminal			
Bankrupt	Debtor	Unfortunate Person					
Barbarian	Primitive	Lifestyle Advocate					
Barfly	Drunkard	Alcoholic	Unfortunate Person				
Barman	Professional						
Baseball Player	Sportsman	Competitor	Contestant				
Basketball Player	Sportsman	Competitor	Contestant				
Biblical Hero	Hero	Religious Activist	Activist	Campaigner	Lifestyle Advocate	Religious Person	
Bigot	Unpleasant Person	Stupid Person					
Billionaire	Millionaire	Wealthy Person					
Biologist	Scientist						
Bird	Animal						
Blade Runner	Policeman	Bounty Hunter	Hunter	Killer			
Bodybuilder	Sportsman	Competitor	Contestant	Strong Person			
Bore	Speaker	Unpleasant Person					
Boss	Leader						
Bounty Hunter	Hunter						
Bowler	Sportsman	Competitor	Contestant				
Boxer	Fighter	Sportsman	Competitor	Contestant	Strong Person		
Broker	Businessman	Professional					
Brother	Male Relative	Sibling	Associate				
Buffoon	Stupid Person						
Builder	Tradesman						
Bully	Wrongdoer	Oppressor	Unpleasant Person				
Bureaucrat	Professional	Unpleasant Person					
Business Leader	Leader	Businessman					
Businessman	Capitalist	Professional					
Campaigner	Lifestyle Advocate	Political Advocate					
Canary	Pet	Bird	Animal				
Cannibal	Lifestyle Advocate	Wrongdoer					
Capitalist	Lifestyle Advocate						
Captain	Military Leader	Leader					
Captive	Unfortunate Person						
Cartoonist	Artist	Creative Professional	Professional				
Cat	Pet	Animal					
Caveman	Primitive						
CEO	Business Leader	Businessman	Capitalist	Leader			
Chancellor	Political Leader	Leader					
Charlatan	Wrongdoer	Unpleasant Person					
Cheat	Wrongdoer						
Chef	Creative Professional	Professional					
Chess Player	Sportsman	Competitor	Contestant	Intellectual			
Child	Young Person	Short Person					
Child Minder	Assistant	Helper					
Circus Performer	Entertainer	Performer					
Clerk	Bureaucrat	Professional	Assistant	Helper			
Clown	Circus Performer	Entertainer	Performer				
Code Breaker	Mathematician	Analyst	Smart Person				
Colonel	Military Leader	Leader	Soldier				
Comedian	Entertainer	Performer					
Communist	Lifestyle Advocate						
Competitor	Contestant						
Complainer	Discontent	Unfortunate Person					
Composer	Musician	Creative Professional	Professional				
Computer	Artificial Person	Machine					
Con Man	Trickster	Cheat	Wrongdoer	Unpleasant Person			
Confectioner	Baker	Tradesman					
Conqueror	Military Leader	Leader	Oppressor				
Conservative	Lifestyle Advocate	Political Advocate					
Consultant	Assistant						
Contestant	Person						
Convict	Captive	Prisoner	Unpleasant Person				
Cop	Policeman	Crime Fighter					
Copilot	Pilot	Assistant	Helper				
Counsellor	Consultant	Advisor	Politician				
Country Singer	Singer	Entertainer	Performer				
Cowboy	Lifestyle Advocate	Tradesman					
Coyote	Animal						
Crab	Animal	Unpleasant Person					
Crank	Complainer	Discontent	Wrongdoer				
Creative Professional	Professional						
Creator	Person						
Crime Fighter	Hero						
Crimeboss	Leader	Criminal	Wrongdoer				
Criminal	Wrongdoer	Unpleasant Person					
Crooner	Singer	Entertainer	Performer				
Cross Dresser	Lifestyle Advocate						
Cult Leader	Leader	Wrongdoer					
Curmudgeon	Complainer	Discontent	Unpleasant Person				
Cyborg	Artificial Person	Strong Person					
Cyclist	Sportsman	Competitor	Contestant	Rider	Vehicle User		
Damsel	Woman	Young Person					
Dancer	Entertainer	Professional					
Daredevil	Entertainer	Professional					
Daughter	Female Relative	Child	Associate				
Deadbeat	Unfortunate Person	Stupid Person	Unpleasant Person				
Debtor	Unfortunate Person						
Delinquent	Unpleasant Person						
Demon	Monster	Wrongdoer	Unpleasant Person				
Demonologist	Academic	Professional	Religious Person				
Designer	Creative Professional	Professional					
Despot	Political Leader	Leader	Bully	Oppressor	Unpleasant Person		
Detective	Policeman	Cop	Crime Fighter	Problem Solver			
Developer	Builder						
Devil	Monster	Wrongdoer	Unpleasant Person				
Diarist	Writer						
Dictator	Political Leader	Leader	Bully	Oppressor	Unpleasant Person		
Director	Creative Professional	Professional					
Disciplinarian	Lifestyle Advocate	Unpleasant Person					
Discontent	Unpleasant Person	Unfortunate Person					
Discoverer	Explorer	Hero					
Dissident	Discontent	Campaigner	Activist				
District Attorney	Prosecutor	Crime Fighter	Lawyer	Legal Professional			
Divorcee	Lifestyle Advocate						
