Label	Subject	Verbs	Object
advisor:leader	Advisor	are_fired_by, are_paid_by, advise, promote, work_for, are_hired_by	Political Leader
advocate:journalist	Political Advocate	appeal_to, communicate_with	Journalist
apostle:helper	Apostle	are_assisted_by	Helper
apostle:guru	Apostle	follow, are_inspired_by, are_appointed_by	Guru
architect:engineer	Architect	advise, work_with, hire	Engineer
aristocrat:aristocrat	Aristocrat	marry	Aristocrat
aristocrat:king	Aristocrat	are_ennobled_by	King
artist:impersonator	Artist	inspire, are_copied_by, attract	Female Impersonator
artist:model	Artist	paint, hire, pick_up	Fashion Model
artist:promoter	Artist	are_marketed_by, are_supported_by, are_represented_by	Promoter
assassin:politician	Assassin	target, kill, assassinate, murder	Politician
assistant:boss	Assistant	are_fired_by, disappoint, serve, are_hired_by, are_appointed_by	Boss
assistant:executive	Assistant	are_fired_by, disappoint, serve, are_hired_by, are_appointed_by	Executive
assistant:manager	Assistant	are_fired_by, disappoint, serve, are_hired_by, are_appointed_by	Fund Manager
astronomer:star	Astronomer	search_for, observe, study	Action Star
atheist:god	Atheist	renounce	God
athlete:promoter	Athlete	are_promoted_by, are_represented_by	Promoter
autocrat:propagandist	Autocrat	hire, appoint	Propagandist
autocrat:rebel	Autocrat	are_deposed_by	Rebel
autocrat:dissident	Autocrat	persuade, torture, imprison, punish	Dissident
bachelor:wife	Bachelor	marry, find	Wife
bachelor:girlfriend	Bachelor	marry, find	Girlfriend
boss:assistant	Boss	are_served_by, bully, command, hire	Assistant
boss:lackey	Boss	favor, are_flattered_by, are_served_by, are_advised_by, manage, appoint, hire	Lackey
boss:slave	Boss	are_served_by, manage	Slave
boss:toady	Boss	favor, are_flattered_by, are_served_by, are_advised_by, manage, appoint, hire	Toady
boxer:promoter	Boxer	are_represented_by, are_promoted_by, sign_with	Promoter
boy:hero	Farm boy	worship	Hero
bureaucrat:politician	Bureaucrat	serve, work_for	Politician
campaigner:politician	Campaigner	fight_for, promote, campaign_for, serve, are_inspired_by	Politician
capitalist:lackey	Capitalist	reward, exploit, are_obeyed_by, are_served_by, are_supported_by, command	Lackey
capitalist:toady	Capitalist	reward, exploit, are_obeyed_by, are_served_by, are_supported_by, command	Toady
chancellor:prime minister	Chancellor	are_fired_by, report_to, are_appointed_by	Prime Minister
cheat:mistress	Cheat	support, cheat_with, sleep_with, take_up_with	Mistress
child:father	Child	look_up_to, are_loved_by	Father
child:minder	Child	are_monitored_by, are_tended_by, are_supervised_by	Child Minder
child:mother	Child	are_tended_by, are_raised_by, are_nurtured_by	Mother
child:nanny	Child	are_monitored_by, are_tended_by, are_supervised_by	Nanny
clown:child	Clown	entertain, perform_for	Child
colonel:general	Colonel	are_promoted_by	General
commissioner:investigator	Police Commissioner	hire, appoint	Paranormal Investigator
communist:capitalist	Communist	argue_with	Capitalist
convict:guard	Convict	are_guarded_by, are_supervised_by, are_monitored_by	Shooting Guard
cop:criminal	Cop	arrest, chase, pursue, grow_suspicious_of	Criminal
cop:thug	Cop	arrest, chase, pursue, grow_suspicious_of	Thug
cop:villain	Cop	arrest, chase, pursue, grow_suspicious_of	Villain
cop:lawyer	Cop	answer_to, compete_against, testify_before	Lawyer
cop:judge	Cop	answer_to, testify_before	Judge
counsellor:emperor	Counsellor	are_dismissed_by, answer_to, advise, serve, are_appointed_by	Emperor
counsellor:king	Counsellor	are_dismissed_by, answer_to, advise, serve, are_appointed_by	King
counsellor:leader	Counsellor	are_dismissed_by, answer_to, advise, serve, are_appointed_by	Political Leader
counsellor:pope	Counsellor	are_dismissed_by, answer_to, advise, serve, are_appointed_by	Pope
counsellor:president	Counsellor	are_dismissed_by, answer_to, advise, serve, are_appointed_by	President
counsellor:queen	Counsellor	are_dismissed_by, answer_to, advise, serve, are_appointed_by	Queen
criminal:lawyer	Criminal	pay, are_defended_by, are_represented_by, hire	Lawyer
criminal:prosecutor	Criminal	are_pursued_by, are_prosecuted_by, are_charged_by	Prosecutor
damsel:knight	Damsel	marry, are_loved_by, are_rescued_by	Jedi Knight
designer:model	Designer	dress, hire, pick_up, date, woo	Fashion Model
despot:lackey	Despot	are_served_by, are_protected_by, command, hire	Lackey
despot:thug	Despot	are_served_by, are_protected_by, command, hire	Thug
despot:toady	Despot	are_served_by, are_protected_by, command, hire	Toady
despot:rebel	Despot	are_deposed_by, are_toppled_by, imprison, fight_against	Rebel
detective:criminal	Detective	testify_against, interview, apprehend, arrest, pursue, chase, grow_suspicious_of, interrogate, probe	Criminal
detective:informant	Detective	listen_to, speak_to, rely_on, recruit	Informant
devil:god	Devil	are_fought_by, fight	God
dictator:general	Dictator	are_served_by, command, appoint	General
dictator:rebel	Dictator	are_toppled_by, are_deposed_by, repress, suppress	Rebel
doctor:nurse	Doctor	are_supported_by, work_with, instruct	Nurse
economist:politician	Economist	serve, advise, work_for	Politician
emperor:counsellor	Emperor	are_served_by, are_advised_by, appoint	Counsellor
emperor:general	Emperor	are_served_by, appoint	General
emperor:guard	Emperor	are_served_by, are_protected_by, are_guarded_by	Shooting Guard
emperor:minister	Emperor	are_served_by, appoint	Prime Minister
emperor:warrior	Emperor	are_defended_by, are_served_by	Warrior
emperor:rebel	Emperor	are_toppled_by, are_deposed_by	Rebel
engineer:architect	Engineer	work_for	Architect
executive:assistant	Executive	fire, are_served_by, hire	Assistant
fascist:communist	Fascist	hate, fight	Communist
fascist:dictator	Fascist	vote_for, support	Dictator
fashion designer:model	Fashion Designer	hire, dress, woo, flirt_with, pick_up	Fashion Model
fashion designer:fashion model	Fashion Designer	dress, hire, woo, flirt_with, pick_up	Fashion Model
fashion model:fashion designer	Fashion Model	are_fired_by, model_for, work_for, are_hired_by	Fashion Designer
father:child	Father	raise, sire	Child
father:mother	Father	divorce, marry	Mother
father:son	Father	raise, sire	Son
footballer:captain	Footballer	are_led_by	Captain
footballer:manager	Footballer	are_managed_by, are_fielded_by, are_selected_by	Fund Manager
forecaster:model	Forecaster	pick_up, flirt_with, woo, propose_to	Fashion Model
general:dictator	General	are_dismissed_by, disappoint, advise, report_to, are_appointed_by	Dictator
general:emperor	General	are_dismissed_by, disappoint, advise, report_to, are_appointed_by	Emperor
general:president	General	are_dismissed_by, disappoint, advise, report_to, are_appointed_by	President
general:soldier	General	deploy, manage, lead, command	Soldier
general:tyrant	General	are_dismissed_by, disappoint, advise, report_to, are_appointed_by	Tyrant
gentleman:lackey	Gentleman	are_served_by, are_supported_by	Lackey
gentleman:lady	Gentleman	marry, propose_to, woo, love	Lady
gentleman:toady	Gentleman	are_served_by, are_supported_by	Toady
girlfriend:boy	Girlfriend	break_up_with, date, show_loyalty_to	Farm boy
god:demon	God	cast_out	Demon
god:devil	God	cast_out	Devil
god:king	God	are_worshipped_by, inspire	King
guard:convict	Shooting Guard	supervise, monitor	Convict
guard:emperor	Shooting Guard	are_dismissed_by, disappoint, serve, protect, guard, are_trusted_by, are_appointed_by	Emperor
guard:king	Shooting Guard	are_dismissed_by, disappoint, serve, protect, guard, are_trusted_by, are_appointed_by	King
guard:queen	Shooting Guard	are_dismissed_by, disappoint, serve, protect, guard, are_trusted_by, are_appointed_by	Queen
hacker:computer	Hacker	steal_from, exploit	Computer
helper:apostle	Helper	assist	Apostle
helper:doctor	Helper	assist	Doctor
helper:nurse	Helper	assist	Nurse
helper:teacher	Helper	assist	Teacher
henchman:boss	Henchman	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Boss
henchman:bully	Henchman	betray, turn_against, are_punished_by, are_victimized_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Bully
henchman:despot	Henchman	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Despot
henchman:dictator	Henchman	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Dictator
henchman:leader	Henchman	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Political Leader
henchman:politician	Henchman	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Politician
henchman:tyrant	Henchman	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Tyrant
hero:boy	Hero	are_worshipped_by, inspire	Farm boy
hero:heroine	Hero	marry, save, rescue, love, propose_to	Heroine
hero:historian	Hero	are_studied_by, are_chronicled_by	Historian
hero:sidekick	Hero	are_accompanied_by, are_supported_by, recruit, inspire	Sidekick
hero:villain	Hero	defeat, overcome, fight, struggle_against, are_challenged_by	Villain
heroine:hero	Heroine	marry, love, flirt_with, seduce, fall_in_love_with	Hero
historian:general	Historian	write_about, study	General
historian:hero	Historian	write_about, study	Hero
historian:president	Historian	write_about, study	President
historian:student	Historian	teach, examine, lecture_to, instruct	Student
husband:wife	Husband	divorce, love, argue_with, marry	Wife
husband:girlfriend	Husband	marry, propose_to	Girlfriend
husband:mistress	Husband	cheat_with	Mistress
impersonator:artist	Female Impersonator	impersonate, imitate, mimic	Artist
impersonator:star	Female Impersonator	are_sued_by, impersonate, mimic, imitate, study	Action Star
informant:detective	Informant	speak_to, are_paid_by, snitch_to, are_used_by	Detective
informant:investigator	Informant	speak_to, are_paid_by, snitch_to, are_used_by	Paranormal Investigator
informant:journalist	Informant	speak_to, are_paid_by, snitch_to, are_used_by, leak_to, inform	Journalist
informant:policeman	Informant	speak_to, are_paid_by, snitch_to, are_used_by	Policeman
informant:reporter	Informant	speak_to, are_paid_by, snitch_to, are_used_by, leak_to, inform	Reporter
intern:mentor	Intern	seek_advice_from, are_mentored_by, are_supervised_by, are_advised_by, are_guided_by	Mentor
intern:professor	Intern	seek_advice_from, are_mentored_by, are_supervised_by, are_advised_by, are_guided_by	Professor
intern:teacher	Intern	seek_advice_from, are_mentored_by, are_supervised_by, are_advised_by, are_guided_by	Teacher
investigator:commissioner	Paranormal Investigator	are_appointed_by, report_to	Police Commissioner
investigator:informant	Paranormal Investigator	listen_to, speak_to, rely_on, investigate, are_informed_by	Informant
investigator:prosecutor	Paranormal Investigator	are_appointed_by, report_to	Prosecutor
investor:broker	Investor	act_via	Broker
journalist:informant	Journalist	are_supplied_by, listen_to, interview, speak_to, rely_on	Informant
king:counsellor	King	are_advised_by, are_served_by, appoint	Counsellor
king:guard	King	are_protected_by, are_guarded_by, are_served_by, appoint	Shooting Guard
king:knight	King	are_defended_by, are_served_by	Jedi Knight
king:minister	King	are_served_by, are_advised_by, appoint	Prime Minister
king:mistress	King	pamper, take_up_with	Mistress
king:poet	King	are_entertained_by, commission, dismiss, summon	Poet
king:prince	King	sire, raise	Prince
king:princess	King	raise, sire	Princess
king:queen	King	marry, divorce, woo, cheat_on, propose_to	Queen
king:warrior	King	are_defended_by, are_served_by	Warrior
king:wizard	King	are_served_by, appoint	Wizard
knight:damsel	Jedi Knight	rescue, fight_for, love, woo	Damsel
knight:king	Jedi Knight	are_banished_by, champion, defend, fight_for, show_loyalty_to, are_favored_by, are_ennobled_by	King
knight:lady	Jedi Knight	champion, love, woo	Lady
knight:maiden	Jedi Knight	rescue, fight_for, love, woo	Maiden
knight:queen	Jedi Knight	are_banished_by, champion, defend, fight_for, show_loyalty_to, are_favored_by, are_ennobled_by	Queen
lackey:boss	Lackey	are_dismissed_by, disappoint, are_rewarded_by, are_favored_by, are_exploited_by, serve, obey, work_for, curry_favor_with	Boss
lackey:capitalist	Lackey	are_dismissed_by, disappoint, are_rewarded_by, are_favored_by, are_exploited_by, serve, obey, work_for, curry_favor_with	Capitalist
lackey:despot	Lackey	are_dismissed_by, disappoint, are_rewarded_by, are_favored_by, are_exploited_by, serve, obey, work_for, curry_favor_with	Despot
lackey:mastermind	Lackey	are_dismissed_by, disappoint, are_rewarded_by, are_favored_by, are_exploited_by, serve, obey, work_for, curry_favor_with	Mastermind
lackey:politician	Lackey	are_dismissed_by, disappoint, are_rewarded_by, are_favored_by, are_exploited_by, serve, obey, work_for, curry_favor_with	Politician
lackey:tyrant	Lackey	are_dismissed_by, disappoint, are_rewarded_by, are_favored_by, are_exploited_by, serve, obey, work_for, curry_favor_with	Tyrant
lady:gentleman	Lady	divorce, marry, love, are_loved_by, are_wooed_by, are_pursued_by, encourage, attract	Gentleman
lady:knight	Lady	divorce, marry, love, are_loved_by, are_wooed_by, are_pursued_by, encourage, attract	Jedi Knight
lady:suitor	Lady	divorce, marry, love, are_loved_by, are_wooed_by, are_pursued_by, encourage, attract	Suitor
