Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Daniel Day-Lewis	Daniel Day-Lewis	male	Sugarloaf Mountain	Wicklow	Ireland	left	married		performing serious acting, winning Oscars	Lincoln towncar	Oscar statuette	stove-pipe hat	Acting, Hollywood, Serious Acting	movies							Actor	obsessive, overzealous, over-serious	dedicated, talented, versatile, dramatic, convincing, 
Tina Fey	Tina Fey	female	Rockerfeller Center	New York City	USA	left	married		writing comedy	New York taxicab	pepper spray		Comedy	television				Liz Lemon	Saturday Night Live		Actress, Comedian	bossy, sarcastic, passive-aggressive	funny, witty, self-deprecating, entertaining
Abraham Lincoln	Abraham Lincoln	male	White House, Ford Theatre, Gettysberg	Washington D.C.	USA	moderate	married	John Wilkes Booth	fighting for civil rights, fighting civil wars	horse-drawn carriage	woodsman's axe	stove-pipe hat	American politics	politics		Daniel Day-Lewis, Henry Fonda		Gettysberg address	The Republican Party		President, Political Leader	stern,  lanky, ugly	wise, erudite, farseeing, eloquent
John Wilkes Booth	John Wilkes-Booth	male	Ford Theatre	Washington D.C.	USA	right		Abraham Lincoln	assassinating presidents	horse, horse-drawn carriage	flintlock muff pistol	stove-pipe hat	American politics	politics				Lincoln assassination			Assassin	murderous, vengeful, bitter, violent, unbalanced, deranged	principled, decisive, committed
Adam Sandler	Adam Sandler	male	Beverly Hills, Hollywood	California	USA	left			making dumb comedies	Tesla Roadster	bad jokes		Comedy	movies				The Zohan			Actor, Comedian	irritating, vulgar, juvenile, crass, profane	funny, entertaining, 
Adam Smith	Adam Smith	male	Kirkcaldy	Scotland	UK	right		Karl Marx	promoting capitalism	horse-drawn carriage	invisible hand		Capitalism	science, philosophy, economics				Capitalism			Economist	calculating, uncaring, cold	insightful, systematic, 
Adam West	Adam West	male	Wayne Mansion	Gotham City	USA			The Joker	wearing tights	Batmobile	judo chop	Batman costume	Comedy	television						Family Guy	Actor	wooden, unconvincing, self-parodying	entertaining, comedic, humorous
The Joker	Joe Kerr	male	Arkham Asylum	Gotham City	USA	libertarian	dating Harley Quinn	Batman	causing mayhem, spreading fear, laughing maniacally	Jokermobile	smilex gas, lethal joy buzzer, exploding whoopee cushion, Titan dart gun	purple topcoat, white face makeup, green wig	DC Comics, Gotham City	crime, terrorism	fictional	Jack Nicholson, Heath Ledger	Bob Kane	Joker gas	Secret Society of Super Villains	The Dark Knight Rises, DC Comics	Maniac, Madman, Criminal, Terrorist, Clown	maniacal, cruel, sadistic, inhuman, homicidal, murderous, 	playful, witty, flamboyant, cunning, brilliant, humorous, creative, gleeful
Al Bundy	Al Bundy	male	Chicago	Illinois	USA		married	Peggy Bundy	watching TV	old banger	head butt		Family life, Comedy	television		Ed O'Neill				Married With Children	Father	crass, uneducated, lazy, indebted, boorish	funny, devious, decent
Al Capone	Al Capone	male	Chicago	Illinois	USA	right, libertarian		Eliot Ness	selling illegal alcohol	armored Cadillac	machine gun	spats	Prohibition, the Mafia, Chicago	crime		Robert De Niro		Capone gang	The Chicago Mob	The Untouchables	Crimeboss	cruel, ruthless, evil, greedy, fat	clever, powerful, dominant
Eliot Ness	Eliot Ness	male	Chicago	Illinois	USA	right	married	Al Capone	arresting bootleggers, fighting with the mob	1932 Cadillac V-16 Sport Phaeton	.38 Colt Special	Grey velour felt Fedora	Prohibition, the Mafia, Chicago, the Law	law and order, crime		Robert Stack, Kevin Costner		The Untouchables	The Untouchables	The Untouchables	Crime Fighter, Policeman, FBI Agent	alcoholic, self-promoting, womanizing, attention-craving	persistent, tenacious, determined, dogged,  principled, driven, law-abiding
Al Gore	Al Gore	male	Carthage	Tennessee	USA	left	divorced	George W. Bush	lecturing about climate change	Prius	earnest stare	staid suit	the Left, the Democrats, the Environment	politics				The Internet			Campaigner, Politician, Vice President	po-faced, boring, stiff, preachy, sanctimonious	energetic, eloquent, persistent
Al Pacino	Al Pacino	male	Beverly Hills, Hollywood	California	USA	left			shouting in Hollywood movies	Range Rover	over-acting		Acting, Hollywood	movies							Actor	loud, frenetic, hackneyed, self-parodying	convincing, entertaining, compelling
Alan Greenspan	Alan Greenspan	male	Federal Reserve	New York City	USA	right, libertarian	married		talking up the economy		incisive economics lecture		Economics	politics							Economist, Advisor	unsympathetic, calculating	insightful, systematic, scholarly,
Alan Sugar	Alan Sugar	male	Tottenham	London	UK	right	married	Piers Morgan	selling consumer goods	Rolls-Royce Ghost	earnest stare	three-piece suit	British business	business				Amstrad		The Apprentice	Businessman	narcissistic, opinionated, pushy	successful, dominant, entrepreneurial
Albert Einstein	Albert Einstein	male	Princeton	New Jersey	USA	left	married, divorced	Niels Bohr	revolutionizing physics	bicycle	dandruff blizzard	baggy trousers	Physics, Relativity	science		Andy Serkis		Special Relativity, General Relativity			Scientist, Genius	scruffy, unfaithful, eccentric	inventive, imaginative, farseeing, clever, creative, brilliant, curious
Alec Baldwin	Alec Baldwin	male	Rockerfeller Center	New York City	USA	left	married, divorced	Kim Bassinger	attacking paparazzi	New York taxicab	head butt, head lock, angry rant		Acting, Hollywood	movies							Actor	angry, volatile, pushy, opinionated	talented,  compelling
Alfred Hitchcock	Alfred Hitchcock	male	Bates Motel	California	USA		married	Raymond Chandler	making suspense movies, 		belly push, belly flop	extra-large trousers	Directing, Suspense,	movies				Psycho, Vertigo, Rear Window			Director	fat, overbearing, pushy	suspenseful, masterly, clever, smart, groundbreaking, pioneering,  technically-talented, stylish
Allan Quatermain	Allan Quatermain	male	Garrick Club	London	UK				exploring darkest Africa	elephant	whip, service revolver	safari suit	Victorian literature	literature	fictional	Richard Chamberlain, Sean Connery	H. Rider Haggard		The League of Extraordinary Gentlemen	She, The League of Extraordinary Gentlemen	Explorer, Adventurer	snobby, Victorian, elitist	brave, daring, dashing, intrepid
Andrew Lloyd Webber	Andrew Lloyd-Webber	male	The West End	London	UK	right	married		making insipid musicals	Starlight Express	bad breath, cliched lyrics		Musicals, Musical Theatre	music, theatre				Cats, The Phantom of the Opera			Composer	bland, unimaginative, unoriginal, predictable	catchy, prolific, successful, entertaining
Andy Warhol	Andy Warhol	male	The Factory	New York City	USA			Roy Lichtenstein	painting over photographs, painting soup cans	M1 Group 4 race car 	sharpened paint brush, napalm airbrush, dandruff blizzard		Modern painting, Pop art	art				Campbell's Soup Can	The Factory		Artist, Painter	commercial, exploitative, predictable	original, mischievous, bohemian, quirky, entrepreneurial
Angelina Jolie	Angelina Jolie	female	Beverly Hills, Hollywood	California	USA	left	married to Brad Pitt	Jennifer Aniston	adopting children, starring in Hollywood movies, 	Prius	pepper spray, Taser gun	little black dress	Acting, Hollywood	movies							Actress, Campaigner	selfrighteous, judgmental, sanctimonious, preachy	beautiful, compelling, talented
Ann Coulter	Ann Coulter	female		Washington D.C.	USA	right		Michael Moore	ranting about liberals	Cadillac gas-guzzler	pepper spray, Taser gun, knee kick	little black dress	the Right, the Republicans	politics							Pundit, Conservative	toxic, rude, selfrighteous, ascerbic, ambitious, controversial, pushy, preachy, cynical, caustic	persistent, eloquent, clever, tenacious
Anna Karenina	Anna Karenina	female		Moscow	Russia		married		worrying about adultery	horse-drawn carriage	lady's fan	evening gown	Russian literature	literature	fictional	Keira Knightley, Greta Garbo	Leo Tolstoy			Anna Karenina	Wife, Adulteress	unfaithful, adulterous	beautiful, passionate, educated
Emma Bovary	Emma Bovary	female	Rouen	Normandy	France		married		planning adultery, climbing social ladders	horse-drawn carriage	lady's fan	bustle	Madame Bovary, the Middle Class	literature	fictional	Mia Wasikowska	Gustave Flaubert			Emma Bovary	Wife, Adulteress	fickle, inconstant, unfaithful, adulterous, disloyal, capricious, social-climbing	pretty, beautiful, daring, ambitious
Anthony Bourdain	Anthony Bourdain	male	JFK Airport	New York City	USA				eating exotic foods, eating the inedible,	subway	kitchen cleaver	apron	Cooking, the Kitchen	television, cooking				Kitchen Confidential		Kitchen Confidential	Chef, TV Host	profane, rude, vulgar	urbane, cheeky, witty, straight-talking
Anton Chekov	Anton Chekov	male		Moscow	Russia				writing plays about the middle classes	horse-drawn carriage			Russian literature	literature, theatre				Uncle Vanya, The Cherry Orchard			Playwright	dour, serious	insightful, erudite, literary
Antonio Vivaldi	Antonio Vivaldi	male	Hotel Sacher	Vienna	Austria				composing classical music	horse-drawn carriage	violin-string garrote		Classical music	music, art				The Four Seasons			Composer	proud, vain, boastful	lively, creative, melodic, tuneful
Archie Bunker	Archie Bunker	male	Jackson Heights, Brooklyn	New York City	USA	right	married		ranting about liberals, ranting about minorities	family sedan	haymaker	slippers	American culture, the Working Class	television, culture	fictional	Carroll O'Connor	Norman Lear 			All In The Family	Bigot, Racist, Father	fat, racist, bigoted, prejudiced, uneducated, crass, argumentative, fat, intolerant	sincere, heartfelt, witty
Ariel Sharon	Ariel Sharon	male	Mount of Olives	Tel Aviv	Israel	right		Shimon Peres, Yasser Arafat	building giant walls	armored car	belly push, belly flop		Israeli politics, Middle-Eastern politics	politics				The Israeli West Bank barrier			Politician, Prime Minister	militaristic, hawkish, overbearing, insensitive, strident	patriotic, determined
Aristotle	Aristotle	male	The Agora	Athens	Greece			Speusippus	writing on wax tablets, teaching philosophy to future leaders, teaching the next generation	sedan chair	flying flip-flop	toga, sandals	Ancient philosophy, Greek philosophy, the Ancient world, Ancient Greece	philosophy		John Gielgud		The Poetics			Philosopher, Teacher, Mentor	bookish, schoolmasterish, dry	insightful, clever, systematic, wide-ranging
Arnold Schwarzenegger	Arnold Schwarzenegger	male	Sacramento	California	USA	right	divorced from Maria Shriver	Sylvester Stallone	working out, making action movies	gas-guzzling Hummer	head lock, 'roid rage	Gargoyle shades	Acting, Action movies	movies							Actor, Action Star	musclebound, inarticulate, stiff, oafish	witty, muscular, strong, powerful
Arthur Conan Doyle	Arthur Conan Doyle	male	The Strand	London	UK		married	Harry Houdini	writing mystery stories	horse-drawn carriage	violin-string garrote, service revolver	deerstalker hat	Detective fiction	literature				Sherlock Holmes, Dr. John Watson, Professor James Moriarty			Writer, Novelist	gullible, credulous, guileless, uncritical	detail-oriented, clever, engrossing
Atticus Finch	Atticus Finch	male	Maycomb County	Alabama	USA	left	widowed		representing the disenfranchised	family sedan	rule of law, appeal to reason	tweed jacket	the Law, the American South	law	fictional	Gregory Peck	Harper Lee			To Kill A Mocking Bird	Lawyer, Father	pious	caring, protective, loving, benevolent
Audrey Hepburn	Audrey Hepburn	female	Tiffany's 5th Avenue	New York City	USA	left	married, divorced		starring in romantic comedies		Tiffany knuckle-duster	little black dress	Acting, Hollywood	movies							Actress, Campaigner	lightweight, insubstantial	pretty, elegant, cute
Aung San Suu Kyi	Aung-San Suu-Kyi	female		Rangoon	Burma	left			campaigning for democracy	sedan chair	sharpened chop stick	conical hat	Asian politics	politics							Campaigner, Politician	preachy	resolute, patient, caring, determined, brave
Austin Powers	Austin Powers	male	Mayfair	London	UK		single	Dr. Evil, Fat Bastard	foiling the schemes of evil villains, shagging spies	VW Beetle	Swedish penis pump, bad breath, blinding dress sense	stripey trousers, flouncy shirt, purple velvet jacket	Spy spoofs, Bond spoofs, Spy movies	movies	fictional	Mike Myers	Mike Myers			The Spy Who Shagged Me, Gold Member	Spy, Adventurer, Secret Agent	goofy, ugly, silly, sex-addled, egotistical	resourceful, determined, hip, cool
Ayn Rand	Ayn Rand	female	Upper East Side	New York City	USA	right	single	Karl Marx	promoting Objectivism, ranting about liberals	Cadillac gas-guzzler	Fountainhead butt		Capitalism, Objective philosophy	philosophy, economics		Helen Mirren		Objectivism	Objectivism		Philosopher, Capitalist, Writer	unsympathetic, selfish, uncaring	objective, unsentimental
Babe Ruth	Babe Ruth	male	Baltimore	Maryland	USA				hitting home runs	Lincoln towncar	baseball bat	baseball uniform	Baseball, American sports	sport		John Goodman			The New York Yankees, The Boston Red Sox		Baseball Player	fat, slobbish, boorish	hard-hitting, 
Barack Obama	Barack Obama	male	White House	Washington D.C.	USA	left	married to Michelle Obama	John McCain, Hillary Clinton, Osama Bin Laden	campaigning for the presidency, giving speeches	armored towncar	Yes We Cannon	sharp suit	American politics	politics				Obamacare	The Democratic Party		President, Politician, Orator	aloof, cold, overly-rational, ineffective	eloquent, inspiring, intellectual, educated, logical
Barry White	Barry White	male	Galveston	Texas	USA				singing romantic songs		Voice cannon	extra-large trousers	Pop music, Love songs	music, singing							Singer	overweight, sentimental	romantic, sultry, deep-voiced
