Typical Activity	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting
abusing power	smoke-filled back room	State capitol building	parliament building	presidential palace	parliament chamber							
acting off-off-Broadway	back-alley theatre	art-house cinema	Tribeca loft									
adopting children	orphanage	kindergarten	playground									
advising on foreign affairs	smoke-filled back room	war room	map room	foreign office	stock exchange							
amassing ill-gotten wealth	private vault	treasury room	underground lair	Swiss bank	private yacht							
amassing nuclear weapons	missile silo	Pacific atoll	secret military base	underground lair	nuclear power plant							
amassing wealth	private vault	treasury room	underground bunker	Swiss bank	private warehouse							
amassing weapons	missile silo	secret military base										
analyzing intelligence data	map room	war room	foreign office									
analyzing murder scenes	abandoned warehouse	dark alley	deserted building site	parking lot	incident room							
analyzing the sub-conscious	therapist's office	mental hospital	asylum for the insane	padded room								
appearing in infomercials	television studio											
appeasing belligerant dictators	palatial mansion	underground bunker										
applying science	hi-tech laboratory	animal-testing laboratory	underground lair									
appreciating vintage collectibles	private warehouse	parking lot	antique market	comic book store								
apprehending criminals	seedy bar	sweaty nightclub	pool hall	smoke-filled back room								
arguing against capitalism	Bohemian café	art-house cinema	study room	college dormitory								
eating Peking duck	Chinese restaurant	fast-food restaurant	Bohemian café	garbage dumpster								
squabbling on television	chat show set	television studio										
arguing with political opponents	parliament building	city hall	council chamber	presidential palace								
arranging dinner parties	penthouse apartment	Brownstone townhouse	Tribeca loft	cramped studio apartment								
arresting criminals	seedy bar	sweaty nightclub	pool hall	smoke-filled back room	public restroom							
arresting drug dealers	seedy bar	sweaty nightclub	pool hall	college dormitory	cheap hotel foyer							
assassinating presidents	parliament chamber	schoolbook depository building	presidential palace	fancy hotel foyer								
attacking consumerism	shopping mall	outlet mall	soup kitchen	hippy commune	souk	garbage dumpster						
attacking neighbors	housing estate	apartment building										
attacking paparazzi	parking lot	red carpet	fancy hotel foyer	fancy restaurant								
attending cocktail parties	Brownstone townhouse	Tribeca loft	fancy hotel									
attending cotillion balls	State capitol building	gymnasium										
avenging loved ones	seedy bar	sweaty nightclub	pool hall	public restroom								
avoiding eye contact	sushi restaurant	sports bar	Bohemian café									
avoiding growing old	gymnasium	art gallery	health farm	cryogenics laboratory	walk-in refrigerator							
avoiding responsibility	college dormitory	sweaty nightclub										
avoiding retirement	gymnasium	job centre	board room									
avoiding taxes	Caymen island	private island										
avoiding work	amusement arcade	sports bar	sweaty nightclub	pool hall	shopping mall							
barking orders at subordinates	fast-food restaurant	board room	factory floor									
battling the forces of darkness	Laser Tag arcade	amusement arcade	seedy bar	gloomy dungeon	back-alley theatre							
beating menial staff	fast-food restaurant	restaurant kitchen										
being a good neighbor	apartment building	housing estate										
nursing a messiah complex	therapist's office	mental hospital	asylum for the insane	padded room								
belching	fast-food restaurant	Bohemian café										
bending spoons	fast-food restaurant	Bohemian café	fancy hotel	Chinese restaurant								
bending the law	board room	stock exchange										
betraying friends	college dormitory	Bohemian café	academic conference	art-house cinema	smoke-filled back room							
biting opponents	boxing club	council chamber	parliament building	Laser Tag arcade	sports stadium							
blanketing staff with memos	board room	office building	State capitol building									
blowing bubbles	amusement arcade	fast-food restaurant	Bohemian café	roof garden	carnival	hi-tech laboratory						
bodybuilding	gymnasium	underground bunker	basement	health farm	boxing club							
breaking bones	boxing club	dark alley	seedy bar	public restroom								
breaking heads	gloomy dungeon	dark alley	seedy bar	pool hall	chat show set	public restroom						
breaking records	gymnasium	health farm	race track	pool hall	gloomy dungeon							
brewing magican potions	gloomy dungeon	soup kitchen	hippy commune	Chinese restaurant	Bohemian café							
bridging cultures	hippy commune	Bohemian café	academic conference	art-house cinema	carnival	gloomy dungeon						
brokering peace deals	smoke-filled back room	secret military base	State capitol building	peace conference	UN general assembly							
bugging political rivals	Watergate hotel	council chamber	State capitol building	smoke-filled back room	underground lair	hi-tech laboratory						
building airplanes	disused hangar	abandoned factory	private island	underground lair	private warehouse							
building an army	underground lair	private island	underground bunker	underground bunker	orphanage	secret military base						
building empires	board room	State capitol building	academic conference	UN general assembly								
building giant walls	underground bunker	gloomy dungeon										
building houses for poor people	housing estate	deserted building site										
building replicants	hi-tech laboratory	secret military base	underground bunker	factory floor								
building rocket ships	disused hangar	abandoned factory	underground bunker	missile silo								
building a wooden ark	parking lot	roof garden	private warehouse	private island	abandoned factory	disused hangar						
bullying neighboring countries	UN general assembly	peace conference	war room	foreign office								
bullying schoolkids	orphanage	kindergarten	fast-food restaurant	public restroom								
burning the wicked	gloomy dungeon	parking lot	roof garden	dark alley	church basement							
burning with envy	gymnasium	academic conference	shower stall	sweaty nightclub	sauna	Korean restaurant						
burping	fast-food restaurant	Chinese restaurant	public restroom	Bohemian café	sports bar	seedy bar	soup kitchen	garbage dumpster				
bursting out of shirts	gymnasium	public restroom	boxing club									
burying dead hamsters	church basement	pet cemetery	parking lot	roof garden								
buying on credit	shopping mall	outlet mall	souk									
campaigning for consumer rights	shopping mall	outlet mall	State capitol building	parliament building	souk							
campaigning for democracy	parliament building	State capitol building	public square									
campaigning for environmental causes	parliament building	State capitol building	public square	jungle	roof garden							
campaigning for social causes	parliament building	State capitol building	public square	UN general assembly	hippy commune	Bohemian café						
campaigning for the presidency	public square	smoke-filled back room	underground lair	treasury room	television studio							
campaigning for the senate	public square	smoke-filled back room	television studio	State capitol building								
campaigning for world peace	peace conference	UN general assembly	hippy commune	hippy commune								
recruiting dissidents	hippy commune	sweaty nightclub	seedy bar	art-house cinema	college dormitory	Bohemian café						
carrying secret plans	underground bunker	war room	foreign office	secret military base	smoke-filled back room	Watergate hotel						
carving magnificent statues	sculpture garden	abandoned factory	art gallery									
cashing checks	pawn shop	Swiss bank										
casting magic spells	gloomy dungeon	Laser Tag arcade	amusement arcade	Bohemian café	church basement	hippy commune						
causing mayhem	war zone	boxing club	amusement arcade	gloomy dungeon	Laser Tag arcade							
causing political scandals	smoke-filled back room	Watergate hotel	State capitol building	sweaty nightclub	public restroom							
chain-smoking  Gauloises Bleues	Bohemian café	college dormitory	art gallery	art-house cinema								
challenging artistic norms	art gallery	art-house cinema	Bohemian café	sculpture garden	college dormitory	carnival	circus					
changing privacy settings	underground bunker	underground lair	technology campus	smoke-filled back room								
changing sides	war zone	war room	State capitol building	chat show set	parliament building							
chasing a great white whale	public swimming pool	private island	private yacht	aquarium	shrimping boat							
chasing after women	seedy bar	sweaty nightclub	gymnasium	fancy hotel	Bohemian café	art gallery						
chasing rabbits	roof garden	private island	deserted building site	pet cemetery	mental hospital	animal-testing laboratory						
chasing cats	roof garden	private island	deserted building site	pet cemetery	mental hospital	animal-testing laboratory						
chasing criminals	seedy bar	sweaty nightclub	pool hall	smoke-filled back room	public restroom	Laser Tag arcade						
chasing electronic ghosts	amusement arcade	Laser Tag arcade	pet cemetery	gloomy dungeon	hi-tech laboratory							
chasing interns	State capitol building	board room	office building	parliament building	presidential palace							
chasing jellyfish	public swimming pool	Chinese restaurant	private island	blue lagoon	sushi bar	Chinese restaurant	aquarium	shrimping boat				
chasing murderers	seedy bar	sweaty nightclub	pool hall	dark alley	public restroom	abandoned factory						
chasing old women	sweaty nightclub	hippy commune	fancy hotel	soup kitchen	parking lot	pet cemetery						
chasing starlets	sweaty nightclub	art-house cinema	fancy hotel	Bohemian café	penthouse apartment							
chasing terrorists	war zone	Bohemian café	abandoned factory	secret military base	college dormitory	amusement arcade						
chasing virgins	convent	gymnasium	college dormitory	art gallery	hippy commune	public restroom						
chasing women	seedy bar	singles bar	Bohemian café	art gallery	shopping mall	fast-food restaurant						
cheating at golf	golf course	health farm	private island									
cheating at poker	smoke-filled back room	pool hall	seedy bar	college dormitory								
cheating clients	board room	stock exchange	office building									
cleaning floors	office building	public restroom	shower stall									
climbing down chimneys	housing estate	orphanage	soup kitchen	mental hospital								
climbing social ladders	office building	fancy hotel	penthouse apartment	art gallery	academic conference							
clinging to past dreams	therapist's office	art gallery	seedy bar	soup kitchen	hippy commune							
clipping coupons	soup kitchen	office canteen	cramped studio apartment	fast-food restaurant	Chinese restaurant							
coasting on past glories	academic conference	singles bar	art gallery	television studio	boxing club	golf course						
coining epigrams	academic conference	Bohemian café	singles bar	art gallery	sculpture garden							
coining sententious maxims	academic conference	peace conference	college dormitory	art gallery	parliament building							
coining sparkling witticisms	public library	Bohemian café	singles bar	television studio	hippy commune	art-house cinema						
collecting alimony	Swiss bank	fancy hotel	singles bar	health farm								
collecting bounties on runaways	seedy bar	public restroom	dark alley	soup kitchen	singles bar	shopping mall						
collecting Captain America trading cards	comic book store	toy store	comic book convention	candy store	shopping mall	antique market						
collecting comic books	comic book store	comic book convention	shopping mall	second-hand store	pawn shop	flea market						
collecting fossils	natural history museum	deserted building site	sandy beach	roof garden								
collecting pirate booty	sandy beach	private island	private yacht									
collecting shoes	walk-in closet	spare room	jumble sale	flea market								
collecting stamps	spare room	private library	antique market	souk								
collecting treasures	private vault	treasury room	underground lair	Swiss bank	church basement							
commanding a pirate ship	private yacht											
commanding a spaceship	command module	command bridge										
going for a spacewalk	airlock											
commanding Roman legions	battlefield	war zone										
making strategic decisions	command room	secret military base	battlefield	war zone								
commenting on social issues	parliament building	State capitol building	college dormitory	Bohemian café	hippy commune							
competing  in the Olympics	race track	sports stadium										
competing in athletic events	race track	sports stadium										
spitting while speaking	soup kitchen	Bohemian café	public swimming pool	fast-food restaurant	Chinese restaurant	singles bar						
complaining about big brother	college dormitory	Bohemian café	hippy commune	public restroom	underground lair	church basement						
complaining about capitalism	college dormitory	Bohemian café	hippy commune	UN general assembly								
complaining about everything	Chinese restaurant	fast-food restaurant	soup kitchen	dark alley	jail cell							
complaining about life	singles bar	leper colony	soup kitchen	dark alley	jail cell							
setting mousetraps	church basement	attic	larder	cheap motel	cheap hotel foyer	pantry						
composing advertizing jingles	piano bar	music room	recording studio									
composing classical music	piano bar	church	music hall	symphony hall	music room							
concocting magic potions	soup kitchen	restaurant kitchen	gloomy dungeon	apothecary shop								
condescending to customers	shoe shop	Bohemian café	art gallery	public restroom	fancy restaurant							
conducting illicit affairs	cheap motel	public restroom	singles bar	fancy hotel								
convicting criminals	court room	interrogation room										
cooking a rabbit stew	soup kitchen	restaurant kitchen	fancy restaurant									
cooking British food	soup kitchen	restaurant kitchen	fast-food restaurant									
cooking chrystal meth	motor home	mobile meth lab	basement	abandoned factory	cheap motel	garden shed						
cooking dinners	soup kitchen	restaurant kitchen	fancy restaurant	Chinese restaurant								
cooking for friends	cramped studio apartment	college dormitory	hippy commune	roof garden								
cooking the books	office building	Swiss bank	casino	treasury room	schoolbook depository building							
counting calories	soup kitchen	restaurant kitchen	fancy restaurant	Chinese restaurant	pantry	larder						
counting cards	blackjack table	casino										
counting money	Swiss bank	private vault	treasury room	counting room								
counting tooth picks	fast-food restaurant	padded room	mental hospital	asylum for the insane	counting room							
cozying up to conservatives	fancy restaurant	private island	private yacht	think tank	board room							
cracking enemy codes	war room	public library	hi-tech laboratory	underground lair	secret military base							
cracking the whip	office building	animal-testing laboratory	fast-food restaurant	gloomy dungeon	bullpen							
creating adverts	office building	bullpen	open-plan office									
creating an axis of evil	underground bunker	underground lair	secret military base	war room	foreign office	map room						
creating annoying rules	office building	board room	academic conference									
creating dictionaries	library reference room	public library	basement									
creating monsters	hi-tech laboratory	gloomy dungeon	church basement	underground lair								
creating nightmares	hi-tech laboratory	gloomy dungeon	underground lair	mental hospital	carnival	circus						
creating optical illusions	hall of mirrors	mental hospital	carnival	circus								
cross-dressing in women's clothes	walk-in closet	spare room	cheap motel	photo booth								
crushing dissent	State capitol building	parliament building	city hall	public square								
curing lepers	leper colony	hobo camp	war zone	carnival								
currying favour	office building	city hall	board room									
