Affordance	Past Tense
shooting with	shot with
pistol-whipping with	pistol-whipped with
attacking with	attacked with
overwhelming with	overwhelmed with
stabbing with	stabbed with
puncturing with	punctured with
blasting with	blasted with
peppering with	peppered with
knocking out with	knocked out with
irritating with	irritated with
dominating with	dominated with
scarring with	scarred with
burning with	burnt with
withering with	withered with
tongue-lashing with	tongue-lashed with
squirting with	squirted with
walloping with	walloped with
hitting with	hit with
bombing with	bombed with
blowing up with	blew up with
blowing away with	blew away with
slashing with	slashed with
cutting with	cut with
gutting with	gutted with
ripping apart with	ripped apart with
flattening with	flattened with
crushing with	crushed with
impaling with	impaled with
deafening with	deafened with
poisoning with	poisoned with
dumbing down with	dumbed down with
stinging with	stung with
blistering with	blistered with
misdirecting with	misdirected with
confusing with	confused with
distracting with	distracted with
neutralizing with	neutralized with
enchanting with	enchanted with
hacking with	hacked with
smiting with	smote with
choking with	choked with
inducing suicidal thoughts with	depressed to the point of suicide with
atom-smashing with	atom-smashed with
shaming with	shamed with
humiliating with	humiliated with
entrancing with	entranced with
manipulating with	manipulated with
slicing with	sliced with
horrifying with	horrified with
frightening away with	frightened away with
repelling with	repelled with
sickening with	sickened with
bombarding with	bombarded with
pummelling with	pummelled with
hammering with	hammered with
battering with	battered with
beating black-and-blue with	beat black-and-blue with
shredding with	shredded with
beating senseless with	beat senseless with
pancaking with	pancaked with
knocking senseless with	knocked senseless with
ass-kicking with	ass-kicked with, kicked in the ass with
blinding with	blinded with
immobilizing with	immobilized with
piercing with	pierced with
petrifying with	turned to stone with
penetrating with	penetrated with
knocking over with	knocked over with
damning with	damned with
running through with	ran through with
disorienting with	disoriented with
whipping with	whipped with
pricking with	pricked with
dismembering with	dismembered with
smashing with	smashed with
slamming with	slammed with
pepper-spraying with	pepper-sprayed with
nauseating with	nauseated with
exploding with	exploded with
drowning with	drowned with
targeting with	targeted with
liquidating with	liquidated with
suffocating with	suffocated with
shocking with	shocked with
producing suicidal thoughts with	pushed to the verge of suicide with
degrading with	degraded with
undermining with	undermined with
brutalizing with	brutalized with
running over with	ran over with
herniating with	herniated with
intimidating with	intimidated with
driving to suicide with	drove to suicide with
producing suicidal thoughts in with	pushed to the edge of suicide with
obliterating with	obliterated with
reducing to ash with	reduced to ash with
entangling with	ensnared with
electrocuting with	electrocuted with
devastating with	devastated with
head-butting with	head-butted with
scatter-shooting with	scatter-shot with
vaporizing with	vaporized with
melting with	melted with
electrifying with	electrified with
scratching with	scratched with
wrong-footing with	wrong-footed with
snake-charming with	snake-charmed with, charmed like a snake with
clubbing with	clubbed with
French-kissing with	French-kissed with
perforating with	perforated with
traducing with	traduced with
slandering with	slandered with
bullying into submission with	bullied into submission with
hypnotizing with	hypnotized with
controlling with	controlled with
hardening arteries with	filled with cholesterol with
s-s-s-shooting with	s-s-s-hot with
frying with	fried with
gouging with	gouged with
disorientating with	disoriented with
enthralling with	enthralled with
ramming with	rammed with
charming with	charmed with
biting with	bit with
poking with	poked with
kicking senseless with	kicked senseless with
kicking with	kicked with
clawing with	clawed with
weakening with	weakened with
under-cutting with	under-cut with
swatting with	swatted with
torturing with	tortured with
shivving with	shivved with
shanking with	shanked with
chopping with	chopped with
destroying with	destroyed with
bitch-slapping with	bitch-slapped with
bear-hugging with	bear-hugged with
savaging with	savaged with
mauling with	mauled with
groin-kicking with	kicked in the groin with
snapping with	snapped with
betraying with	betrayed with
whacking with	whacked with
coshing with	coshed with
spraying with	sprayed with
zapping with	zapped with
infiltrating with	infiltrated with
out-thinking with	out-thought with
assassinating with	assassinated with
crowding out with	crowded out with
swatting away with	swatted away with
freezing with	froze with
nipping with	nipped with
terminating with	terminated with
infecting with	infected with
pistol-whipping	pistol-whipped with
terrifying with	terrified with
shafting with	shafted with
restraining with	restrained with
slapping with	slapped with
tiring out with	tired out with
numbing with	numbed with
mowing down with	mowed down with
shattering with	shattered with
shrinking with	shrunk with
splatting with	splatted with
crunching with	crunched with
stapling with	stapled with
kicking black-and-blue with	kicked black-and-blue with, kicked senseless with
cutting	cut with
burning	burned with
slicing	sliced with
zapping	zapped with
bullying with	bullied with
stunning with	stunned with
karmic zapping with	karmic-zapped with
inflitrating with	infiltrated with
