Category	When Subject	When Object
Actor	impersonate, pose_for, are_scripted_by, entertain, shill_for	are_impersonated_by, popularize, are_upstaged_by, are_entertained_by, beautify, enhance, style_for, dress, photograph, write_for, resemble
Writer	write_about, are_published_by, are_read_by, translate_for	read_the_works_of, study
Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, sign_with, sing_with	sing_with, heckle, boo, are_entertained_by
Hero	defend, rescue, fight_for, inspire, defeat, are_venerated_by, die_for	are_saved_by, are_defended_by, are_rescued_by, are_inspired_by, lose_faith_in, are_defeated_by, are_shielded_by, admire, reward
Campaigner	campaign_for, campaign_against, identify_with, preach_to, overthrow, topple, denounce, are_debated_by	propagandize_for, are_arrested_for_killing, are_overthrown_by, are_toppled_by, are_denounced_by
Musician	entertain, perform_for, sign_with, play_with, play_for	compose_with
Politician	are_elected_by, appoint, are_targeted_by, campaign_against, run_against, vote_against	vote_for, elect, bribe, buy_off, assassinate, campaign_for, run_against, vote_against
Comedian	entertain, laugh_at, joke_about, are_heckled_by, are_booed_by, insult, mock, humiliate, satirize	are_entertained_by, are_satirized_by, are_mocked_by, are_insulted_by, are_humiliated_by
Composer	compose_with, create_for, inspire	compose_with, are_inspired_by, study
Political Leader	are_elected_by, appoint, run_against, campaign_against, indoctrinate, vote_against, brief_against, are_debated_by, are_deposed_by, lead, are_followed_by	vote_for, elect, bribe, buy_off, assassinate, look_up_to, campaign_for, run_against, are_upstaged_by, vote_against, break_with, are_led_by
Businessman	invest_in, fund, finance	are_funded_by, are_financed_by
Director	are_appointed_by	cede_power_to, appoint
Villain	cheat, steal_from, enslave, assassinate, terrorize, blackmail, take_aim_at, are_feared_by, are_arrested_for_killing, intimidate_with, corrupt, are_wanted_by, are_forgiven_by, are_despised_by	are_victimized_by, are_enslaved_by, kill_for, arrest, defeat, are_corrupted_by, forgive, fear, despise
Novelist	write_about, are_published_by, are_read_by	read_the_works_of, study
Actress	impersonate, pose_for, are_scripted_by, entertain, model_for, shill_for	mate_with, are_impersonated_by, popularize, are_upstaged_by, are_entertained_by, beautify, enhance, style_for, dress, photograph, write_for
Scientist	experiment_on, evaluate, are_published_by	study_under, are_evaluated_by
Detective	investigate, probe, arrest, cross_examine, interview, grow_suspicious_of, accuse, interrogate	are_investigated_by, are_probed_by, are_arrested_by, are_imprisoned_by, are_incarcerated_by, confess_to, snitch_to, tip_off, are_accused_by, are_interrogated_by
Philosopher	probe, debate_with, persuade, argue_with	debate_with, are_persuaded_by, are_debated_by
Adventurer	travel_with, are_accompanied_by	carry_for, drive_for
TV Host	interview, host, charm, speak_to, talk_to	are_interviewed_by, are_questioned_by, answer_questions_from, are_charmed_by, speak_to
Rock Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, rouse	sing_with, heckle, boo, pamper, are_entertained_by, are_roused_by
Athlete	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Criminal	cheat, steal_from, enslave, assassinate, terrorize, blackmail, rob, assault, intimidate, are_arrested_for_killing, are_arrested_for_hurting, kill_for, are_investigated_by, threaten, abet, are_interrogated_by, are_imprisoned_by, are_incarcerated_by, are_charged_by, are_accused_by, are_wanted_by, are_reported_by, are_forgiven_by	are_victimized_by, are_enslaved_by, kill_for, arrest, punish, imprison, incarcerate, preach_to,  accuse, are_threatened_by, testify_against, cross_examine, prosecute, catch, capture, forgive, apprehend
Artist	paint, photograph	pose_for, are_painted_by, are_photographed_by, study, commission, model_for
CEO	hire, appoint, command	are_hired_by, work_for, are_overworked_by, are_dismissed_by, are_underpaid_by, sweat_for
Policeman	arrest, chase_after, catch, track_down, accuse, capture	are_arrested_by, are_imprisoned_by, are_incarcerated_by, confess_to, are_accused_by
President	are_elected_by, appoint, are_overthrown_by, are_toppled_by, are_usurped_by, rule_over, are_deposed_by	vote_for, elect, are_appointed_by
Painter	paint, beautify, enhance	pose_for, are_painted_by, study, commission, model_for
Father	nurture, watch_over, look_after, are_obeyed_by, chastise, discipline, are_cut_off_by	obey, look_up_to, confide_in, confess_to, are_chastised_by, pray_for, are_disciplined_by, are_punished_by, are_molded_by
Crimeboss	corrupt, bribe, blackmail, intimidate_with,  threaten, are_investigated_by, threaten_with, are_imprisoned_by, are_incarcerated_by, confess_to, are_accused_by, are_prosecuted_by, 	kill_for, snitch_to, arrest, investigate, cross_examine, testify_against, are_accused_by, arrest, prosecute
Religious Leader	preach_to, chastise, pray_for, mentor, counsel, baptize, ordain, indoctrinate, brainwash, minister_to, excommunicate, lead	look_up_to, worship_with, lose_faith_in, pray_to, are_advised_by, are_counseled_by,  pray_with, confess_to, are_ordained_by, are_indoctrinated_by, are_brainwashed_by, look_up_to, pray_for, are_blessed_by, are_excommunicated_by, are_led_by
Humorist	entertain, laugh_at, joke_about, write_about, take_aim_at, satirize	are_entertained_by, are_satirized_by, are_scripted_by
Billionaire	invest_in, fund, finance, lend_to, evict, bribe, blackmail, commission, sue, profit_from, are_begged_by, are_spoiled_by	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to, spoil
Tyrant	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, torment, oppress, subjugate	are_ruled_by, are_dominated_by, are_suppressed_by, are_repressed_by, are_imprisoned_by, are_oppressed_by, are_tormented_by,  stand_up_to, are_incarcerated_by, banish, overthrow, topple, are_oppressed_by, are_persecuted_by, appease, are_subjugated_by, break_free_of
Pioneer	inspire, are_copied_by, are_imitated_by, teach, seek	are_inspired_by, copy, imitate, learn_from, are_taught_by, study_under, look_up_to, are_sought_by
Sportsman	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Poet	compose_with, create_for, write_about	commission, read_the_works_of, study
Spy	spy_on, snitch_on, report_to	leak_to, are_informed_by, tip_off
Inventor	create_for, inspire	are_inspired_by, copy, imitate
Killer	kill, kill_for, assassinate, are_accused_by, are_charged_by, are_sued_by, are_prosecuted_by, are_arrested_for_killing, murder	are_killed_by, prosecute, charge, accuse, imprison, execute, incarcerate, arrest, hide_from
Heroine	defend, rescue, fight_for, inspire, defeat, are_venerated_by	are_saved_by, are_defended_by, are_rescued_by, are_inspired_by, lose_faith_in, are_defeated_by, propose_to, reward, admire
Teacher	teach, educate, tutor, discipline, scold, lecture_to, instruct	learn_from, study_under, are_taught_by, are_educated_by, are_tutored_by, are_scolded_by, are_disciplined_by, are_lectured_by
Child	look_up_to, learn_from, study_under, are_taught_by, are_raised_by, are_scolded_by, are_chastised_by, are_lectured_by, are_lectured_by	nurture, breastfeed, scold, chastise, teach, lecture_to, baptize
General	command, are_obeyed_by, defeat, subjugate, discipline, deploy, discipline, govern_for	report_to, obey, are_conquered_by, are_defeated_by, are_subjugated_by, are_commanded_by, are_disciplined_by, are_deployed_by
Guitarist	entertain, perform_for, are_heckled_by, are_booed_by, play_with, play_for, compose_with, perform_with	sing_with, heckle, boo, play_with, compose_with, perform_with
Pop Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, play_with, sign_with, perform_with	sing_with, heckle, boo, perform_with
Astronaut	travel_with, carry_for, drive_for	
Advisor	advise, counsel, mentor, support, encourage	seek_advice_from, are_advised_by, are_counseled_by, consult_with, are_scripted_by, are_supported_by, consult
Magician	impress, mystify, entertain	are_mystified_by, are_shocked_by, are_impressed_by, are_entertained_by, are_intrigued_by, are_mystified_by
Pundit	advise, counsel, mentor, answer_questions_from	seek_advice_from, are_advised_by, are_counseled_by, interview, cross_examine, speak_to, talk_to
Friend	show_loyalty_to, share_stories_with, take_up_with, testify_for, trust, commit_to, are_trusted_by, drink_with, support	confide_in, share_stories_with, trust, write_to, are_accompanied_by, are_shielded_by, drink_with, are_guaranteed_by, break_up_with, are_supported_by
Recluse	hide_from, avoid, elude, run_away_from, flee_from, alienate	are_eluded_by, reach_out_to
Schoolkid	look_up_to, learn_from, study_under, are_taught_by, are_raised_by, learn_with, are_scolded_by, are_chastised_by, are_lectured_by, are_educated_by,	teach, scold, chastise, lecture_to, educate, learn_with
Fool	are_exploited_by, are_manipulated_by, are_cheated_by, are_tricked_by, are_underestimated_by, are_pitied_by, fail_to_deliver_for, are_fired_by	laugh_at, mock, fool, trick, exploit, manipulate, cheat, underestimate, are_hindered_by, are_driven_mad_by, pity
Reporter	write_about, are_published_by, are_read_by, interview, probe, investigate, cross_examine	are_interviewed_by, are_questioned_by, answer_questions_from, are_probed_by, are_investigated_by
Pilot	transport, drive_for	navigate_for, are_driven_around_by
Journalist	are_interviewed_by, are_questioned_by, answer_questions_from, are_probed_by, are_investigated_by, cross_examine	are_interviewed_by, are_questioned_by, answer_questions_from, are_probed_by, are_investigated_by
