Determiner	Clothing	Covers
	academic tweeds	torso, legs, arms
	all-weather gear	torso, legs, arms
	anchor tattoos	
	animal skins	torso
an	anti-Castro T-Shirt	torso
an	apron	torso
an	Armani suit	torso, legs, arms
an	Armani T-shirt	torso
an	Armani top-coat	torso, arms
an	army-surplus parka	torso, arms
an	artist's smock	torso, arms
an	Ascot	neck
an	Astrakhan coat	torso, arms
an	aviator's helmet and goggles	head, eyes
a	bad suit	torso, legs, arms
a	badly-fitting suit	torso, legs, arms
	baggy trousers	legs
a	ball gown	torso, legs
a	bandana	head
an	bandoleer	chest
a	bar apron	torso
a	bare-chest bandoleer	chest
a	baseball tunic	torso, arms
a	baseball uniform	torso, arms, legs
a	basketball jersey	torso, arms
a	Basque beret	head
a	bat-wing collar	neck
a	bath towel	waist, legs
a	bathrobe and socks	torso, arms, legs, feet
a	Batman costume	torso, arms, legs, feet
	battered tennis shoes	feet
a	Battistoni jacket	torso, arms
an	gold shawl	torso, arms, shoulders
a	beer-stained shirt	torso, arms
a	bench bespoke silk suit	torso, arms, legs
	bicycle shorts	waist, legs
	big hair	head
a	big white beard	face
	big-boy jeans	legs
a	biker jacket	torso, arms
a	billowy skirt	torso, arms
a	bin bag	torso
a	birthday suit	torso, arms, legs
	black armor	torso, arms, legs
a	black beret	head
a	black business suit	torso, arms, legs
a	black cape	back
a	black cassock with Mandarin collar	torso, arms, legs
a	black doublet	torso, arms
a	black gown	torso, arms, legs
a	black hat	head
	black jeans	legs
a	black leather bodysuit	torso, arms, legs
	black leather boots	feet
a	black leather jacket	torso, arms
	black leather trousers	legs
a	black MIB suit	torso, arms, legs
a	black military beret	head
a	black pointed hat	head
a	black polo neck	torso, arms
	black Ray Ban Wayfarers	eyes
	black riding boots	feet
a	black robe	torso, arms, legs
a	black shirt	torso, arms
	black square-cut mane	head
	black suit and angled sunglasses	eyes
	black sunglasses	eyes
a	black T-shirt	torso, arms
a	black tailcoat	torso, arms
a	black turban	head
a	black vest	torso
a	black-and-purple robe	torso, arms, legs
a	black-and-red miniskirt	legs
a	black-and-white fur coat	torso, arms
a	black-and-white striped tunic	torso, arms
a	blazer with no shirt	torso, arms
a	blue beehive hairdo	head
a	blue FBI jacket	torso, arms
a	blue pearl necklace	neck
	blue shorts	legs
a	blue sport coat	torso, arms
a	blue suede shoes	feet
a	blue suit and orange tie	torso, arms, legs, neck
a	blue tunic	torso, arms
	blue woad	face, chest, arms
a	boring business suit	torso, arms, legs
a	boring suit	torso, arms, legs
a	boring sweater	torso, arms
a	bow tie	neck
a	bowling shirt	torso, arms
	boxing shorts	legs
	braces	chest
a	braided goatee	chin
a	broad-edged Fedora	head
a	Brooks Brothers button-down	torso, arms
a	Brooks Brothers suit	torso, arms, legs
a	brown robe	torso, arms, legs
a	brown shirt	torso, arms
a	brown trenchcoat	torso, arms
	brushed-back hair	head
a	burgundy ball gown	torso, arms, legs
a	burgundy suit	torso, arms, legs
a	business suit	torso, arms, legs
a	business suit and slippers	torso, arms, legs, feet
a	bustle	waist, legs
a	Caddyshack T-shirt	torso, arms
a	Calico gown	torso, arms, legs
	camo gear	torso, arms, legs
a	cape	back
	capri pants	legs
	caveman furs	torso, arms, legs
	chains	torso, arms, legs
a	Chanel suit	torso, arms, legs
a	cheap suit	torso, arms, legs
	Chinese pyjamas	torso, arms, legs
a	Chinese single-breasted suit	torso, arms, legs
a	Chinese tunic suit	torso, arms, legs
a	chrome dome	head
a	cinnamon buns hairdo	head
	clown shoes	feet
	comfortable shoes	feet
a	conical hat	head
a	cool helmet	head
	corduroy breeches	legs
a	cosplay zombie costume	torso, arms, legs
	cowboy boots	feet
a	cowboy hat	head
a	cowl	head, shoulders
a	crew cut	head
a	crisp white suit	torso, arms, legs
a	Cuban shirt	torso, arms
	cuffed linen trousers	legs
	cut-off jeans	legs
a	dapper suit	torso, arms, legs
a	dark suit	torso, arms, legs
a	dark suit with no tie	torso, arms, legs, neck
a	dark T-shirt and torn jeans	torso, arms, legs
a	deerstalker hat	head
a	designer stubble	chin
a	dirty torn vest	torso
a	dog collar	neck
a	Dojo costume	torso, arms, legs
a	domino mask	eyes
a	double-breasted suit	torso, arms, legs
a	doublet	torso, arms
	drainpipe trousers	legs
	dreadlocks	head
a	dunce cap	head
	dungarees	legs, chest
	dyed black hair	head
an	eagle epaulet	shoulders
	epaulets	shoulders
an	Eton collar	neck
an	evening gown	torso, arms, legs
	ever-changing shoes	feet
	everyman clothes	torso, arms, legs
	extra wide trousers	legs
	extra-large trousers	legs
a	extra-large white shirt	torso, arms
	extra-long trousers	legs
a	extra-wide pants	legs
a	face bag	face
	face piercings	face
a	fake moustache	lip
	fake snakeskin trousers	legs
a	fake tan	face
a	Famous Blue Raincoat	torso, arms
a	farmboy tunic	torso, arms
a	Faux Fur Coat	torso, arms
a	feather boa	neck
a	feathered cap	head
a	feathered headband	head
a	Fedora	head
a	felt boots	feet
	fetching orange overalls	torso, arms, legs
a	fez	head
	fireproof gloves	hands
a	flame-retardant jumpsuit	torso, arms, legs
a	flannel suit	torso, arms, legs
a	flapper dress	torso, arms, legs
	flares	legs
a	flat cap	head
a	flea collar	neck
a	floppy beret	head
a	floppy hat	head
a	floral dress with a collared neck	torso, arms, legs, neck
a	floral vest	torso
a	flouncy shirt	torso, arms
a	flouncy tunic	torso, arms
a	flowing silk tunic	torso, arms
	football boots	feet
a	foppish neckruff	neck
a	fright wig	head
a	frock coat and top hat	torso, arms, head
	funny glasses	eyes
a	fur cap	head
a	fur stole	neck, shoulders
a	fur-trimmed red suit	torso, arms, legs
	furry ear flaps	head
	Gargoyle shades	eyes
a	gas mask	face
a	General McArthur hat	head
a	giant bow tie	neck
a	giant cowboy hat	head
a	giant red bow tie	neck
a	gladiator skirt	legs
	glam-rock makeup	face
a	goatee	chin
	gold metal skin	face, torso, arms, legs, hands
a	gold tiara	head
a	gold toga	torso, legs
a	gold-lamé jacket	torso, arms
	golf pants	legs
	Google glass	eyes
	Google goggles	eyes
a	green curtain dress	torso, arms, legs
a	Green Lantern T-shirt	torso, arms
	green tights	legs
a	green wig	head
a	grey robe	torso, arms, legs
a	Grey velour felt Fedora	head
a	grey-blue rinse	head
a	greyhound puppy tuxedo	torso, arms, legs
	grungy jeans	legs
a	grungy T-shirt	torso, arms
a	guard's face	face
a	gun belt	waist
a	gunmetal kimono	torso, arms
a	hair bun	head
a	hair transplant bandana	head
a	half-and-half suit	torso, arms, legs
	half-mast trousers	legs
a	Halliburton suit	torso, arms, legs
a	Hannibal Lecter mask	face
a	hard plastic mask	face
	Harris tweed	torso, arms, legs
a	Harris Tweed jacket	torso, arms
a	Hawaiian shirt	torso, arms
a	hazmat suit	torso, arms, legs
a	herringbone blazer	torso, arms
a	high starched collar	neck
a	high-collared cape	back, neck
a	high-pointed collar	neck
	high-waisted pants	waist, legs
a	hipbop outfit	torso, arms, legs
a	hippy shirt	torso, arms
a	hockey jersey	torso, arms
a	hockey mask	face
a	hockey mom blouse	torso, arms
a	Hogwarts uniform	torso, arms, legs
a	Homburg	head
	home-made clothes	torso, arms, legs
a	hooded cloak	back
a	hoodie	torso, arms, head
	hoody and jeans	torso, arms, head, legs
a	horned helmet	head
	hot pants	legs
	hunting clothes	torso, arms, legs
	hunting gear	torso, arms, legs
an	ill-fitting coat	torso, arms
an	ill-fitting jacket	torso, arms
an	ill-fitting suit	torso, arms, legs
	Inca pattern sweatpants	legs
a	jewelled brocade doublet	torso, arms
	Jimmy Choo shoes	feet
	jodhpurs	legs
a	jumpsuit	torso, arms, legs
	K-Mart clothes	torso, arms, legs
a	Kentucky bow tie	neck
a	khaki jumpsuit	torso, arms, legs
a	khaki safari suit	torso, arms, legs
	khaki trousers	legs
	khakis	legs
	kiddie dentures	teeth
	kitchen whites	torso, arms, legs
a	Kleenex boxes as shoes	feet
	knee-breeches	legs
	knee-high boots	feet
	knee-high stiletto boots	feet
	knee-length boots	feet
a	knitted cardigan	torso, arms
	Kung-fu pyjamas	torso, arms, legs
a	Kurt Cobain T-shirt	torso, arms
	leather armor	torso, arms, legs
a	leather bodysuit	torso, arms, legs
	leather chaps	legs
	leather elbow patches	arms
a	leather flight jacket	torso, arms
a	leather jacket	torso, arms
a	leather jerkin	torso, arms
a	leather loin cloth	waist, legs
a	leather motorcycle jacket	torso, arms
	leather pants	legs
a	leather suit	torso, arms, legs
a	leather trenchcoat	torso, arms
	Lee 101 Riders jeans	legs
	Levi's jeans	legs
a	Linux T-shirt	torso, arms
a	little black dress	torso, arms, legs
a	loin cloth	waist, legs
a	long greatcoat	torso, arms
	long hair	head
a	long red cape and leather breeches	legs, back
a	long robe	torso, arms
a	long white beard	chin
a	long-horned helmet	head
a	loud shirt	torso, arms
a	low-cut dress	torso, arms
a	low-cut dress with pinched waist	torso, arms
a	low-cut T-shirt	torso, arms
a	lush Arabian mustache	lip
a	lycra Starfleet uniform	torso, arms, legs
a	Madiba shirt	torso, arms
a	male corset	torso
	manacles	hands
	Manolo Blahniks	feet
a	Mao suit	torso, arms, legs
a	Marco Polo neck	torso, arms
a	Mardi Gras costume	torso, arms, legs, head
a	Marie Antoinette dress	torso, arms, legs
a	Marine crew cut	head
a	Marshal's uniform	torso, arms, legs
a	Mayoral chain	neck
a	Mayoral sash	chest
a	McDonald's shirt	torso, arms
a	meringue-shaped wig	head
a	Mickey Mouse watch	hands
	military fatigues	torso, arms, legs
