Creation	Creation Action	Creation Type	Creation Type	Creation Type	Creation Type	Creation Type
1984	write	Novel	Book	Science Fiction	Fiction	
The Quantum Fund	found	Investment Fund	Business			
30 Odd Foot of Grunts 	found	Music Group	Group, Organization			
A Dictionary of the English Language	write, compile	Dictionary	Book	Information Source		
Abu Ghraib prison	set up	Prison	Building			
Al Queda	found	Terrorist Group	Criminal Organization	Group, Organization		
Alien	direct	Movie	Film	Fiction		
Gladiator	direct	Movie	Film	Fiction		
Thelma and Louise	direct	Movie	Film	Fiction		
Amarcord	direct	Movie	Film	Fiction		
American Crossroads	set up	Political Organization	Group, Organization			
Amstrad	found, set up	Company	Group, Organization			
Annie Hall	direct	Movie	Film	Comedy	Fiction	
Bananas	direct	Movie	Film	Comedy	Fiction	
Midnight in Paris	direct	Movie	Film	Comedy	Fiction	
Baby One More Time	write, compose	Song	Music			
Baby	write, compose	Song	Music			
Bigger	write, compose	Song	Music			
Ball 'n' Chain	write, compose	Song	Music			
Mercedes Benz	write, compose	Song	Music			
Balloon Dog	create	Sculpture	Art			
Batman	invent	Character	Fiction			
Berkshire Hathaway	set up	Company	Group, Organization			
Bernard L. Madoff Securities LLC	set up	Company	Group, Organization			
Bilbao Guggenheim Museum	design, create	Museum	Building			
Bird On The Wire	write, compose	Song	Music			
Suzanne	write, compose	Song	Music			
Birth of the Cool	write, compose	Instrumental Music	Music			
Bitches Brew	write, compose	Instrumental Music	Music			
Miles Ahead	write, compose	Instrumental Music	Music			
Round About Midnight	write, compose	Instrumental Music	Music			
Black Sabbath	found, set up	Music Group	Group, Organization			
Iron Man	write, compose	Song	Music			
Blazing Saddles	direct, write	Movie	Comedy	Fiction		
Young Frankenstein	direct, write	Movie	Comedy	Fiction		
The Producers	direct, write	Movie	Comedy	Fiction		
Blithe Spirit	write	Play	Comedy	Fiction		
The Vortex	write	Play	Fiction			
Blue Meth	invent, concoct	Drug	Chemical			
Blue Valentines	write, compose	Song	Music			
Hang Down Your Head	write, compose	Song	Music			
Martha	write, compose	Song	Music			
Born in the USA	write, compose	Song	Music			
Bowling for Columbine	write, direct	Documentary	Film			
Farenheit 911	write, direct	Documentary	Information Source			
Bubba Gump	set up, found	Company	Organization			
Buddhism	found	Philosophy, Religion	Movement			
Buffalo Soldier	write, compose	Song	Music			
Campbell's Soup Can	paint, create	Painting	Art			
Candide	write	Novel	Book	Comedy	Fiction	
Capitalism	found	Political Philosophy	Philosophy	Movement		
Capone gang	found, set up	Criminal Gang	Group, Organization			
Caprice No. 24 in a Minor	write, compose	Instrumental Music	Music			
Paganini Rhapsody	write, compose	Instrumental Music	Music			
Catcher in the Rye	write	Novel	Book			
Cats	write	Musical	Music			
The Phantom of the Opera	write	Musical	Music			
Cerebro	invent, create	Brain Scanner	Machine			
Chanel No. 5	concoct, create	Perfume	Chemical			
charkha spinning wheel	invent	Spinning Wheel	Tool			
Childe Harold	write, compose	Poem	Art	Fiction		
Citizen Kane	write, direct	Movie	Film	Drama	Fiction	
Clerks	write, direct	Movie	Film			
Mall Rats	write, direct	Movie	Film			
Confucianism	found	Philosophy	Movement			
Dogma	write, direct	Movie	Film			
Contract With America	set up, propose	Manifesto	Movement			
Cosmos	write, present	Documentary	TV Show	Show	Information Source	
Cubism	invent, found	Art Movement, Genre	Movement			
Guernica	paint, create	Painting	Art			
Curb Your Enthusiasm	write	TV Show	Comedy	Show		
Communism	found, invent	Political Philosophy	Philosophy	Movement		
Das Capital	write	Treatise	Book	Information Source		
David Copperfield	write	Novel	Book	Drama	Fiction	
A Christmas Carol	write	Novel	Book	Drama	Fiction	
