Specific Domains	Type	Type	Type	Type	Type	Type
24	TV Show	Drama	Fictional World			
18th-Century Vienna	Era	Culture				
2001: A Space Odyssey	Science Fiction Movie	Movie, Science Fiction	Drama	Fictional World		
30 Rock	TV Show	Comedy	Fictional World			
A Christmas Carol	Victorian Novel, Victorian literature	Novel	Drama	Fictional World		
A Few Good Men	Movie	Drama	Fictional World			
A Street Car Named Desire	Modern Play	Play	Drama	Fictional World		
Abstract art	Art	Art Genre	Genre			
Abstract painting	Abstract Art, Painting	Art	Art Genre	Genre		
Acting	Artistic Activity	 Pretence				
Action movies	Movie Genre	Genre				
Afternoon TV	TV Genre	Genre				
Alien	Science Fiction Movie	Movie, Science Fiction	Drama	Fictional World		
Alien visitations	Cultural Phenomenon	Culture				
Alternative Rock	Music Genre	Genre				
American architecture	Regional architecture	Architecture	Cultural Genre, Academic Discipline	Genre		
American art	Regional art	Art	Art Genre	Genre		
American comedy	Regional comedy	Comedy	Cultural Genre	Genre		
American Counter-Terrorism	American politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline	
American culture	Regional culture	Cultural Genre, Cultural Phenomenon, Academic Discipline	Genre			
American education	Regional culture	Cultural Phenomenon	Culture			
American history	Regional history	History	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
American literature	Regional literature	Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline		
American poetry	Regional poetry	Poetry	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre		
American politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
American sports	Cultural Phenomenon, Cultural Genre, Sport	Culture, Genre				
Anchorman	Comedy Movie	Movie	Comedy	Fictional World		
Ancient Egypt	Cultural Phenomenon, Era	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Ancient Greece	Cultural Phenomenon, Era	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Ancient military history	Military history	History	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Ancient philosophy	Historical philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Ancient Rome	Cultural Phenomenon, Era	Culture				
Animation	Art Genre, Movie Genre	Genre				
Anorexia	Disease	Struggle				
Apartheid	Cultural Phenomenon, Political Culture	Culture	Struggle			
Apolitical Cartoons	Art Genre	Genre				
Political Cartoons	Cartooning	Political Culture, Genre				
Apple Computer	Technology Company, Technology Culture	Business, Culture				
Archeology	Profession, Academic Discipline	Discipline				
Art	Profession, Academic Discipline	Discipline				
Arts and Crafts	Art Genre, Business	Genre				
Asian politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Astronomy	Science, Academic Discipline	Discipline				
Athletics	Sport	Contest	Struggle			
Australia	Country, Culture					
Autism	Disease	Struggle				
Autobots	Culture	Genre				
Aviation	Business, Profession, Technology Company, Technology Culture, Technology	Culture				
B Movies	Movie Genre	Genre				
Back To The Future	Science Fiction Movie, Comedy Movie	Movie, Science Fiction	Drama, Comedy	Fictional World		
Bad Movies	Movie Genre	Genre				
Bank robbing	Cultural Phenomenon, Criminal Culture, Crime	Transgressive Activity	Activity			
Baroque music	Historical music	Music	Music Genre	Genre		
Baseball	Cultural Phenomenon, Sport	Contest	Struggle			
Basketball	Cultural Phenomenon, Sport	Contest	Struggle			
Baywatch	TV Show	Drama	Fictional World			
Bedrock	Fictional Place	City, Culture	Fictional World			
Betrayal	Cultural Phenomenon, 	Crime	Transgressive Activity	Activity		
Big business	Business, Culture					
Bikini Bottom	Fictional Place	City, Culture	Fictional World			
Biology	Science, Academic Discipline	Discipline				
Black liberation	Political Movement	Political Culture, Struggle				
Black-and-white movies	Movie Genre, Era	Genre				
Blues music	Music	Music Genre	Genre			
Bodybuilding	Sporting Activity	Sport	Contest	Struggle		
Bond spoofs	Movie Genre, Comedy Genre	Genre				
Boxing	Cultural Phenomenon, Sport	Contest	Struggle			
Breaking Bad	TV Show	Drama	Fictional World			
British business	Regional culture	Business, Culture				
British class politics	British politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline	
British comedy	Regional comedy	Cultural Phenomenon, Comedy Genre	Genre, Culture			
British culture	Regional culture	Culture	Culture			
British humour	Regional comedy	Cultural Phenomenon, Comedy Genre	Genre, Culture			
British legend	Regional history, Regional culture	Culture, Era				
British literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre				
British politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
British royalty	Social Group	Group	Regional culture, Regional politics	Culture		
British theatre	Regional art	Art Genre, Cultural Phenomenon	Culture, Genre			
Cabaret singing	Singing	Artistic Activity, Music Genre	Activity, Genre			
Calcutta	City, Culture	Place				
Capitalism	Political Movement, Political Culture, Political Philosophy	Philosophy, Business culture	Culture			
Car Racing	Cultural Phenomenon, Sporting Activity	Sport	Contest	Struggle		
Carribean music	Regional music	Music	Music Genre	Genre		
Cars	Technology, Mode of Tranport, Technology Culture	Culture	Product			
Catholicism	Religion	Philosophy	Culture			
CBS	TV Network	Business, Culture				
Chat Shows	TV Genre, TV Show	Genre				
Cheating	Transgressive Activity	Activity				
Chemistry	Science, Academic Discipline	Discipline				
Chess	Sport	Contest	Struggle			
Chicago	City, Culture	Place				
Child Minding	Specialist Activity	Activity				
Children's tales	Art Genre	Genre				
China	Country, Culture					
Chinese philosophy	Regional philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Christian Fundamentalism	Fundamentalism	Religion, Political Movement	Philosophy	Culture, Struggle		
Christianity	Religion	Philosophy	Culture			
Christmas	Religious Event	Cultural Event	Event			
Chrystal Meth	Drug	Product				
CIA	Government Organization, Technology Culture	Organization, Culture				
Citizen Kane	Movie	Drama	Fictional World			
Clairvoyance	Special Ability	Ability				
Classical music	Historical music	Music	Music Genre	Genre		
Comedy	Artistic Activity, Genre					
Comedy Central	TV Network	Business, Culture				
Communism	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Struggle			
Consumer Advocacy	Political Movement, Political Activity 	Activity				
Cooking	Specialist Activity	Activity				
Country music	Regional music	Music	Music Genre	Genre		
Courtroom dramas	Movie Genre	Genre				
Crime fiction	Literary Genre	Genre				
Cross-Dressing	Style, Artistic Activity	Transgressive Activity	Activity			
CSI: Miami	TV Show	Drama	Fictional World			
Cuba	Country, Culture					
Cuban politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Cubism	Art	Art Genre	Genre			
Curb Your Enthusiasm	TV Show	Comedy	Fictional World			
