Fictional World	Type	Type	Type	Type	Type	Type	Type
Family Guy	TV Comedy	TV Show	Comedy	Animation	Fiction		
The Dark Knight Rises	Action Movie	Movie	Drama	Fiction			
Married With Children	TV Comedy	TV Show	Comedy	Fiction			
The Untouchables	Action Movie	Movie	Drama	Fiction			
The Apprentice	Reality TV Show	TV Show					
She	Victorian Novel	Novel	Book	Fiction			
The League of Extraordinary Gentlemen	Graphic Novel	Comic Strip	Novel	Book	Drama	Fiction	
Anna Karenina	Victorian Novel	Novel	Book	Drama	Fiction		
Emma Bovary	Victorian Novel	Novel	Book	Drama	Fiction		
Kitchen Confidential	Reality TV Show	TV Show					
All In The Family	TV Comedy	TV Show	Comedy	Fiction			
To Kill A Mocking Bird	Novel, Movie	Book	Drama	Fiction			
The Spy Who Shagged Me	Comedy Movie	Movie	Comedy	Fiction			
Gold Member	Comedy Movie	Movie	Comedy	Fiction			
The Simpsons	TV Comedy	TV Show	Comedy	Animation			
Fawlty Towers	TV Comedy	TV Show	Comedy	Fiction			
Jeeves and Wooster	TV Comedy	TV Show	Comedy	Fiction			
The Cosby Show	TV Comedy	TV Show	Comedy	Fiction			
The Empire Strikes Back	Science Fiction Movie	Movie	Science Fiction	Fiction			
Return of the Jedi	Science Fiction Movie	Movie	Science Fiction	Fiction			
The Diary of Bridget Jones	Comedy Movie	Movie	Comedy	Fiction			
Batman Begins	Action Movie	Movie	Drama	Fiction			
The Dark Knight	Action Movie	Movie	Drama	Fiction			
Buck Rogers in the 25th Century	Science Fiction TV Show	TV Show	Science Fiction	Fiction			
Toy Story	Comedy Movie	Movie	Comedy	Animation	Fiction		
Moby Dick	Victorian Novel	Novel	Drama	Fiction			
Sex and the City	TV Comedy	TV Show	Comedy	Fiction			
Citizen Kane	Dramatic Movie	Movie	Drama	Fiction			
Peanuts	Cartoon Strip	Animation	Comedy	Fiction			
Superman	Science Fiction Movie	Movie	Science Fiction	Comic Strip	Fiction		
Seinfeld	TV Comedy	TV Show	Comedy	Fiction			
Looney Tunes	TV Comedy	TV Show	Comedy	Animation	Fiction		
The Da Vinci Code	Novel	Book	Drama	Fiction			
Star Wars: The Phantom Menace	Science Fiction Movie	Movie	Science Fiction	Fiction			
Star Wars	Science Fiction Movie	Movie	Science Fiction	Fiction			
The Alamo	Action Movie	Movie	Drama	Fiction			
Dexter	TV Drama	TV Show	Drama	Fiction			
Gorillas in the Mist	Dramatic Movie	Movie					
Apocalypse Now	Dramatic Movie	Movie	Drama	Fiction			
The Godfather	Dramatic Movie	Movie	Drama	Fiction			
Disney World	Theme Park	Place					
The Picture of Dorian Gray	Victorian Novel	Novel	Drama	Detective Fiction	Fiction		
The Hound of the Baskervilles	Victorian Novel	Novel	Drama	Detective Fiction	Fiction		
A Study in Scarlet	Victorian Novel	Novel	Detective Fiction	Fiction			
The Adventure of the Final Problem	Detective Story	Detective Fiction	Fiction				
The Valley of Fear	Detective Story	Detective Fiction	Fiction				
Oliver Twist	Victorian Novel	Novel	Drama	Fiction			
A Christmas Carol	Victorian Novel	Novel	Drama	Fiction			
Oliver Twist	Victorian Novel	Novel	Drama	Fiction			
David Copperfield	Victorian Novel	Novel	Drama	Fiction			
The Adventures of Flash Gordon	Science Fiction Movie	Comic Strip	Comic	Science Fiction	Fiction		
Star Wars: Attack of the Clones	Science Fiction Movie	Movie	Science Fiction	Fiction			
Star Wars: Revenge of the Sith	Science Fiction Movie	Movie	Science Fiction	Fiction			
Forrest Gump	Comedy Movie	Movie	Comedy, Drama	Fiction			
The Double Helix	Historical Novel	Novel	Book				
The Columbo Mysteries	TV Drama	TV Show	Detective Fiction	Fiction			
Silence of the Lambs	Dramatic Movie	Movie	Drama, Horror	Detective Fiction	Fiction		
The Philosopher's Stone	Fantasy Novel	Novel	Fantasy	Fiction			
The Chamber of Secrets	Fantasy Novel	Novel	Fantasy	Fiction			
The Goblet of Fire	Fantasy Novel	Novel	Fantasy	Fiction			
The Deadly Hallows	Fantasy Novel	Novel	Fantasy	Fiction			
The Order of the Phoenix	Fantasy Novel	Novel	Fantasy	Fiction			
The Prisoner of Azkhaban	Fantasy Novel	Novel	Fantasy	Fiction			
Agatha Christie's Mysteries	Detective Story	Detective Fiction	Fiction				
Raiders of the Lost Ark	Action Movie	Movie	Drama	Fiction			
24	TV Drama	TV Show	Drama	Fiction			
On the Road	Novel	Book	Drama	Fiction			
From Hell	Graphic Novel	Novel	Comic Strip	Drama	Detective Fiction	Fiction	
Thunderball	Action Movie	Movie	Drama	Fiction			
You Only Live Twice	Action Movie	Movie	Drama	Fiction			
