Location	Type	Determiner	Preposition	Size	Ambience	Interactions	Props
abandoned building	Building	an	in		forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, depressing, faded, decrepit, lifeless, dilapidated, spooky, weathered	arguing with, squabbling with, looking for old cans with, huddling with, stripping copper wire with, self-medicating with	brick, piece of rubble, rusty iron bar, floor board, exposed wiring
abandoned factory	Building	an	in	large	forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, spacious, dilapidated, ramshackle, spooky	arguing with, squabbling with, looking for old cans with, huddling with	brick, piece of rubble, rusty iron bar, iron lever, rusty spanner
abandoned warehouse	Building	an	in	large	forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, spacious, depressing, dilapidated	arguing with, squabbling with, looking for old cans with, huddling with	wooden joist, rusty crowbar, floor board
academic conference	Event	an	in	large	hectic, busy, bustling, lively, stimulating, boring, pretentious, spirited, volatile	arguing with, squabbling with, bragging to, philosophizing with, gossiping with, nattering with, sitting next to, exchanging notes with, 	free pen, badge pin, conference proceedings, microphone stand
airlock	Room	an	in	small	cramped, claustrophobic	crammed with, waiting with	umbilical line, oxygen tank, gas gun, wrench, spanner
amusement arcade	Floor	an	in	large	dark, noisy, bustling, flashy, humming	playing next too, skulking with, cadging coins with	coin roll, broken joystick, pool cue
animal-testing laboratory	Room	an	in	large	cold, clinical, cruel, sterile, unsanitized, noisy, pitiless	sweeping up poop with, rattling cages with, sitting next to, exchanging notes with, 	syringe, cattle prod, fire extinguisher, bunsen burner
animation studio	Building	an	in	large	colourful, busy, cramped, bright	sitting next to, sitting across from, working next to, drawing next to,	digital stylus, T-square
antique market	Outside_Area	an	in	large	dusty, cramped, cluttered, antiquated, quaint, stuffy, shady	walking next to, haggling with, bargaining with, carrying shopping for	carpet duster, antique letter opener, copper bed pan, back scratcher
apartment building	Building	an	in	large	threadbare, soulless, drafty, musty, stuffy	walking up stairs with, exchanging pleasantries with	fire extinguisher, 
apothecary shop	Building	an	in		eccentric, antiquated, scented, drab, quaint	filling a prescription with, comparing medications with, comparing conditions with	pestle, syringe, 
archeological site	Outside_Area	an	in	large	dusty, dreary, rocky, barren, lifeless, muddy, dismal, dirty, lifeless	shoveling dirt with, taking measurements with, comparing finds with	shovel, pick, 
art gallery	Floor	an	in	large	pretentious, snooty, fashionable, chic, sophisticated, stylish, elegant, charming, minimalist, upscale, sleek	looking at pictures with, making smalltalk with, discussing art with, talking art with, rubbing shoulders with, sharing in-jokes with	fire extinguisher, picture frame, champagne bottle
art studio	Room	an	in		cluttered, cramped, untidy, messy	drawing next to, sketching, posing for	paint knife, paint tube, picture frame, T-square
art-house cinema	Building	an	in		pretentious, classy, upscale, minimalist, plush, contemporary, dingy, smug	sitting next to, queuing behind, sharing popcorn with, whispering with	usher's torch, cola, 
assembly line	Floor	an	in	large	mechanized, automated, efficient, continuous, repetitive, endless, humming, busy, noisy	working next to, working with, 	iron lever, fire extinguisher, power cord
asylum for the insane	Building	an	in	large	chaotic, draconian, shabby, harsh, strict, disorderly, unwelcoming, depressing, dreary, confining, oppressive	jabbering next to, staring at, screaming at, glowering at, chasing, cackling with, exchanging medication with	pillow, jello
attic	Floor	an	in		dusty, cramped, cluttered, dark, stuffy	crouching with, conspiring with, whispering with	floor board, wooden joist, roofing tile, exposed wiring, 
back-alley theatre	Building	a	in	small	dingy, cramped, faded, uncomfortable, stuffy, eccentric, shady	sitting next to, queuing behind, sharing popcorn with, whispering with, sharing in-jokes with, discussing casting choices with	usher's torch, cola, 
balcony	Outside_Area	a	in	small	airy, precarious, dramatic, exposed	looking at the moon with, exchanging glances with, holding hands with	flower pot
barn	Building	a	in	large	airy, dilapidated, ramshackle, unheated, dusty, smelly, damp, unwelcoming, 	baling hay with, shoveling poop with, 	pitchfork, shovel
basement	Floor	a	in		dark, damp, dank, unheated, clammy, moldy, dusty, sweaty, smelly, dim, gloomy, humid, stuffy, shabby, airless, fetid, murky, unventiliated, windowless	crouching next to conspiring with, whispering with	lead pipe, power cord
basketball court	Floor	a	in	large	springy, airy, spacious, featureless	dribbling with, playing with, cheering with	basketball
bathroom	Room	a	in	small	cramped, claustrophobic, damp, wet, clammy, sticky, humid, dank, steamy	peeing next to, unspooling toilet paper for, passing soap to	toothbrush, toilet plunger, toilet brush, toilet cleaner
battlefield	Outside_Area	a	in	large	bloody, chaotic, gory, muddy, dirty, scarred, gruesome, desolate, grim, lonely, cluttered, ghastly, barren, hellish, unforgiving, stained, grisly, smoldering, eerie, devastated, hectic, ravaged, litter-strewn	crouching next to, lying next to	brick, piece of rubble, street sign, manhole cover
blackjack table	Section	a	at	small	dishonest, crooked, sleazy, ruthless, compulsive, untrustworthy, relentless	gambling next to, counting cards with, playing against	playing card, whiskey glass, glass ashtray
blue lagoon	Outside_Area	a	in	large	sparkling, sandy, inviting, welcoming, alluring, clear, pristine, serene, exotic, lush, romantic, panoramic, temperate, translucent, glittering, soothing, unspoilt, charming	swimming with, sunbathing with, cavorting with, frolicking with	coconut, rock, broken branch
board room	Room	a	in	large	formal, upscale, plush, prestigious, elegant, spacious, intimidating, impersonal, stuffy, officious		
Bohemian café	Building	a	in		pretentious, snooty, fashionable, chic, sophisticated, stylish, elegant, charming, minimalist, upscale, romantic, kitschy , flamboyant, cosmopolitan, smug		
bowling alley	Floor	a	in	large	dilapidated, unpretentious, noisy, hectic, dingy, bright, grimy, sunless		
boxing club	Building	a	in		noisy, sweaty, aggressive, violent, rowdy, raucous, stinky, brutal, gloomy, smoky, grimy, sunless		
brothel	Building	a	in		seedy, cheap, dark, sordid, smoky, filthy, squalid, tasteless, steamy, sinful, kitschy, raunchy		
Brownstone townhouse	Building	a	in		chic, stylish, elegant, contemporary, sophisticated, welcoming, inviting, sunny, desirable, comfortable		
bullpen	Floor	a	in		crowded, bustling, hectic, busy, cramped, 		
cage	Room	a	in	small	cramped, claustrophobic, rusty, confining, miserable, windowless, smelly, uncomfortable, restrictive, unclean, barren, unsanitized		
candy store	Building	a	in		inviting, alluring, aromatic, nostalgic, welcoming, colourful, bright, eclectic, whimsical, cute, appealing, cheerful, psychedelic		
carnival	Event	a	in	large	bright, vibrant, funky, colourful, crowded, bizarre, flamboyant, wacky, cheerful, joyful, raucous, exuberant, chaotic, rambunctious, gaudy, psychedelic		
casino	Building	a	in	large	flashy, noisy, gaudy, extravagant, seedy, unscrupulous, ruthless, crooked, tacky, grand, glamorous, bright, windowless		
cat walk	Section	a	in		glamorous, swanky, elevated, glitzy		
cave	Outside_Area	a	in		dark, damp, dank, cold, clammy, moldy, sweaty, smelly, dim, gloomy, humid, stuffy, shadowy, airless, fetid, murky, spooky, foreboding, labyrinthine, sinister, chilly, unlit, ghastly, slippery, stagnant		
Caymen island	Outside_Area	a	in	large	grand, exclusive, relaxing, luxurious, comfortable, chic, fashionable, plush, stylish, opulent, lush, sunny, 		
changing room	Room	a	in	small	cramped, claustrophobic, uncomfortable		
chapel	Building	a	in		quaint, charming, sombre, rustic, romantic, intimate, enchanting, peaceful, picturesque, gloomy, hushed, humble, understated		
chat show set	Floor	a	in	large	lively, impersonal, artificial, generic, sanitized		
cheap motel	Building	a	in	large	tacky, dated, cheesy, sleazy, trashy, ugly, affordable, low-end, faded, drab, dreary, dusty, dingy, decrepit, anonymous, shabby, sticky		
Chinese restaurant	Building	a	in		bland, shabby, nondescript, formulaic, dingy, tacky, cheesy, flashy, colourful, ornate, authentic, greasy, garish, convivial		
chocolate factory	Building	a	in	large	wacky, sprawling, aromatic, fragrant, busy		
