Quality	Count	When Property of A	When Property of B
witty	89	entertain, charm, seduce, insult, satirize	are_entertained_by, are_charmed_by, are_seduced_by, are_insulted_by, are_heckled_by
entertaining	81	entertain, propagandize_for	are_entertained_by
intelligent	61	are_underestimated_by	underestimate
ruthless	49	betray, spread_lies_about, exploit, manipulate, steal_from, cheat	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by
strong	47	are_underestimated_by, kill, defend	underestimate, are_defended_by, are_defeated_by
charming	47	charm, are_trusted_by, seduce, flirt_with, flatter, curry_favor_with, lead_astray, corrupt, persuade	are_charmed_by, are_seduced_by, flirt_with, confide_in, cheat_with, *lead_astray, lie_for
cunning	46	betray, spread_lies_about, exploit, manipulate, cheat, flatter, lie_to, take_advantage_of, lay_a_trap_for	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by, are_lured_by
clever	46	impress, are_underestimated_by, upstage, trick, fool,  lay_a_trap_for, advise, are_lured_by, counsel, mentor, educate, teach	are_impressed_by, are_deceived_by, are_tricked_by, seek_advice_from, are_counselled_by, are_mentored_by, are_guided_by, are_taught_by
insightful	45	inspire, debate_with, counsel	are_inspired_by, learn_from, are_counseled_by, seek_advice_from
inspiring	45	inspire, are_copied_by, are_worshipped_by, educate	are_inspired_by, trust, follow, worship, campaign_for, are_intrigued_by, support, learn_from, show_loyalty_to, are_disillusioned_by, seek_advice_from
tuneful	44	entertain, play_for	are_entertained_by
shrewd	44	betray, spread_lies_about, exploit, manipulate, cheat, flatter, lie_to, undermine, take_advantage_of, curry_favor_with, lay_a_trap_for	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by, are_misrepresented_by
manipulative	44	are_underestimated_by, pander_to, undermine, take_advantage_of, lie_to, exploit, spread_lies_about, propagandize_for, prey_on	underestimate, are_cheated_by, lie_for, are_exploited_by, grow_suspicious_of
powerful	43	kill, fire, punish, are_obeyed_by, attack, cede_power_to, appoint, are_feared_by, govern, incarcerate	rise_against, are_killed_by, are_banished_by, serve, obey, cede_power_to, are_governed_by, are_disillusioned_by, rebel_against, bow_down_to, are_ruled_by, are_appointed_by
brave	43	rise_against, stand_up_to, attack, defend, protect, die_for	are_toppled_by, fear, are_defeated_by, are_defended_by, are_protected_by
arrogant	43	condescend_to, are_toppled_by, underestimate, threaten, argue_with, bully, pick_on	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against, are_underestimated_by
eloquent	41	charm, seduce, humiliate, encourage, inspire	are_charmed_by, are_seduced_by, speak_through, are_encouraged_by, are_inspired_by
handsome	41	charm, seduce, pose_for	are_seduced_by, are_charmed_by, fall_in_love_with, cheat_with
brilliant	40	impress, are_underestimated_by, upstage, trick, lay_a_trap_for	are_impressed_by, are_deceived_by, are_tricked_by
passionate	39	inspire, encourage	are_inspired_by, fall_in_love_with, are_encouraged_by
influential	38	are_flattered_by, promote, propagandize_for, lead_astray, indoctrinate, encourage	kiss_up_to, lick_up_to, curry_favor_with, are_read_by, bribe, are_led_by, are_indoctrinated_by, suck_up_to
affable	37	charm, share_stories_with, chat_with	are_charmed_by, chat_with
inventive	35	create_for, cook_for	are_impressed_by
strategic	35	are_underestimated_by, counsel	underestimate, are_trained_by
creative	34	impress, create_for, cook_for, write_about	are_impressed_by, study, read_the_works_of
energetic	34	are_underappreciated_by, work_for, are_promoted_by, encourage	promote, are_energized_by
narcissistic	34	are_flattered_by, condescend_to, ignore, are_spoiled_by	flatter, are_ignored_by
cynical	34	betray, spread_lies_about, exploit, manipulate, cheat, flatter, lie_to, undermine, take_advantage_of, curry_favor_with, lay_a_trap_for, brainwash, snitch_on, experiment_on	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by, are_corrupted_by, are_misrepresented_by
pioneering	33	inspire, are_copied_by, are_worshipped_by	are_inspired_by, trust, follow, worship, campaign_for, are_intrigued_by, support, learn_from, show_loyalty_to
aggressive	31	overwork, attack, bully, taunt, mock, intimidate	are_pushed_too_far_by, are_intimidated_by, are_attacked_by, are_taunted_by
loyal	31	show_loyalty_to, support, identify_with,  campaign_for, defend, follow, obey, die_for	are_supported_by, are_defended_by, are_followed_by, are_obeyed_by, are_championed_by
cruel	30	whip, hurt, punish, taunt, mock, alienate, torture, torment, interrogate, starve	are_taunted_by, are_mocked_by, are_humiliated_by, are_tortured_by, are_tormented_by, are_interrogated_by
funny	30	charm, seduce, entertain, laugh_at	are_charmed_by, are_seduced_by, flirt_with, are_entertained_by
resourceful	30	experiment_on, are_respected_by, are_underestimated_by, lie_to, trick	tip_off, respect, underestimate, leak_to
agile	30	avoid, escape_from, run_away_from, elude	are_eluded_by
self-regarding	30	are_flattered_by, condescend_to, ignore	flatter, are_ignored_by, are_misrepresented_by
humorous	29	charm, seduce, entertain, laugh_at	are_charmed_by, are_seduced_by, flirt_with, are_entertained_by
fat	29	disgust	are_disgusted_by
preachy	29	lecture_to, denounce, condescend_to, preach_to, indoctrinate, alienate, condemn	are_lectured_by, are_denounced_by, disappoint, are_indoctrinated_by, are_disillusioned_by, are_censured_by, are_scolded_by, are_trained_by, are_excommunicated_by
rich	28	bribe, withhold_payment_from, guarantee,  pay, buy_from, invest_in, are_blackmailed_by, fund, buy_off, lend_to, are_driven_by, are_begged_by	are_financed_by, are_bought_off_by,  are_underpaid_by, are_funded_by, guard, drive_for
tenacious	27	impress, are_underestimated_by, overcome	are_impressed_by, underestimate, encourage
driven	27	impress, are_underestimated_by, overcome	are_impressed_by, underestimate
capable	27	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by, upstage, are_chosen_by, are_copied_by, are_imitated_by	are_impressed_by, underestimate, appoint, hire, recruit
tough	27	kill, intimidate, threaten	are_feared_by, are_beaten_by, are_threatened_by, are_intimidated_by
determined	26	impress, are_underestimated_by, overcome, rebuff	are_impressed_by, underestimate, are_rebuffed_by
versatile	26	upstage, impress, create_for	are_upstaged_by
stern	25	condescend_to, overwork, lecture_to, preach_to	are_overworked_by, are_lectured_by, stand_up_to, are_rebuffed_by, are_censured_by
beautiful	25	seduce, flirt_with, sleep_with, enchant, are_deflowered_by, are_photographed_by, pose_for	are_seduced_by, are_charmed_by, are_corrupted_by, fall_in_love_with, cheat_with, sleep_with, are_enticed_by
shallow	25	are_flattered_by, dump, fail_to_impress, imitate, copy	are_underappreciated_by, are_imitated_by, are_copied_by, are_dumped_by, criticize, are_failed_by
charismatic	25	charm, are_trusted_by, seduce, flirt_with, flatter, curry_favor_with, lead_astray, lie_to	are_charmed_by, are_seduced_by, flirt_with, confide_in, cheat_with, *lead_astray
athletic	25	impress, play_with, pursue, are_fielded_by, are_trained_by	are_impressed_by, are_pursued_by, look_up_to
observant	26	spy_on, snitch_to, testify_against, report_to, blackmail, tip_off, grow_suspicious_of, observe, prey_on, watch_over	are_blackmailed_by
melodic	24	entertain, sing_with, play_for	are_entertained_by
heroic	24	inspire, defend, protect, stand_up_to, campaign_against, tower_over, rescue, save	are_inspired_by, are_defended_by, are_protected_by, are_rescued_by, are_saved_by, are_shielded_by
inspirational	24	inspire, are_copied_by, tower_over, are_worshipped_by, educate, encourage	are_inspired_by, trust, follow, worship, campaign_for, are_intrigued_by, support, learn_from, show_loyalty_to, are_disillusioned_by, are_imitated_by
compelling	23	impress, encourage	are_intrigued_by
smart	23	impress, are_underestimated_by, upstage, trick, lay_a_trap_for	are_impressed_by, are_deceived_by, are_tricked_by
ambitious	23	upstage, are_underestimated_by, blackmail, compete_with, take_advantage_of	are_upstaged_by, are_usurped_by, underestimate, cede_power_to, are_used_by
socially-conscious	23	are_disappointed_by, preach_to, inspire, feel_sorry_for, encourage	disappoint, are_disillusioned_by, are_lectured_by, admire, look_up_to
wealthy	23	bribe, withhold_payment_from, guarantee,  pay, buy_from, are_blackmailed_by, fund, invest_in, buy_off, are_begged_by, are_driven_by	are_financed_by, are_bought_off_by, are_underpaid_by, are_funded_by, guard, are_begged_by, drive_for
violent	23	attack, threaten, intimidate, kill, are_arrested_for_killing, are_arrested_for_hurting	are_attacked_by, are_threatened_by, are_intimidated_by, are_shocked_by, are_savaged_by
daring	22	impress, rescue	are_impressed_by, underestimate, are_rescued_by, admire, look_up_to
vain	22	are_flattered_by, condescend_to, ignore, are_spoiled_by	flatter, are_ignored_by
muscular	22	impress, tower_over, intimidate	are_impressed_by, are_intimidated_by
sardonic	22	insult, satirize, joke_about	are_insulted_by, are_mocked_by
naïve	22	are_deceived_by, are_manipulated_by, are_exploited_by	deceive, lie_to, exploit, manipulate
vulgar	21	disgust, drink_with, are_booed_by, taunt, curse, disrespect, heckle, offend, joke_about	are_disgusted_by, are_cursed_by, are_disrespected_by, are_heckled_by, are_offended_by
talented	21	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by, upstage, are_chosen_by, are_copied_by, are_imitated_by	are_impressed_by, underestimate, hire, recruit, are_upstaged_by, look_up_to, imitate, copy, mimic, sign_up, recruit
egotistical	21	condescend_to, humiliate, are_toppled_by	are_spurned_by, are_ignored_by, are_underappreciated_by
sarcastic	21	condescend_to, humiliate, criticize, mock, taunt, insult, heckle, joke_about	are_criticized_by, are_taunted_by, are_mocked_by, are_insulted_by
greedy	21	steal_from, profit_from, exploit, blackmail, devour, defraud, take_advantage_of, cheat	are_underpaid_by, are_cheated_by, are_defrauded_by
insensitive	20	condescend_to, fail_to_reward, are_dismissed_by, overwork, are_spurned_by, heckle, joke_about, ignore	are_pushed_too_far_by, are_fired_by, are_overworked_by
