Determiner	Vehicle	Affordances
a	Škoda Yeti	driving
a	1885 Benz Motorwagen	driving
a	190 SL Mercedes	driving
a	1912 Lagonda 30	driving
a	1917 Ford Model T Roadster	driving
a	1923 Pierce-Arrow Series 33 Runabout	driving
a	1924 Amilcar	driving
a	1927 Bugatti Type 40	driving
a	1927 Singer Senior	driving
a	1929 Pierce-Arrow	driving
a	1930 Ford Tudor Saloon	driving
a	1930 Rolls-Royce Phantom I	driving
a	1930 Rudge Whithworth motorcycle	driving
a	1930's Aston Martin	driving
a	1931 Isotta-Fraschini limousine	driving
a	1931 Lagonda	driving
a	1932 Cadillac V-16 Sport Phaeton	driving
a	1933 Duesenberg J Victoria	driving
a	1933 Essex Terraplane	driving
a	1934 Belchfire Runabout	driving
a	1934 Duesenberg J-370	driving
a	1934 V12 Auburn	driving
a	1935 Auburn Speedster	driving
a	1935 Duesenberg JN	driving
a	1936 DeSoto Airstream	driving
a	1936 Lincoln V-12 Model K Aero Mobile	driving
a	1936 Packard 8 Phaeton	driving
a	1936 Stutz Bearcat	driving
a	1936 Volkswagen	driving
a	1937 Alfa Romeo custom convertible	driving
a	1938 Cadillac Staff Car	driving
a	1939 Daimler DB18 Drophead Coup√©	driving
a	1940 Buick  Touring Sedan	driving
a	1940 Buick phaeton	driving
a	1940 Ford coupe	driving
a	1942 V16 Coupe	driving
a	1946 Ford Coupé	driving
a	1946 Ford Super De Luxe Convertible	driving
a	1948 Ford Super DeLuxe Club convertible	driving
a	1949 Hudson Commodore	driving
a	1951 Mercury custom coupe	driving
a	1954 Chevy Bel Air	driving
a	1954 Citro√´n 2CV	driving
a	1954 Desoto Plymouth	driving
a	1954 Mercedes-Benz 300 SL Gullwing	driving
a	1954 Plymouth Contest	driving
a	1954 Plymouth Savoy	driving
a	1955 Chrysler New Yorker	driving
a	1955 Ford Thunderbird	driving
a	1955 Porsche 550 Spyder	driving
a	1956 Chevy 210	driving
a	1956 Chevy Nomad	driving
a	1956 Ford Thunderbird	driving
a	1956 Lincoln towncar	driving
a	1957 Ford Skyliner	driving
a	1957 Lincoln Premier	driving
a	1958 Chevy Biscayne	driving
a	1958 Ford Skyliner	driving
a	1959 Cadillac Ecto-1	driving
a	1959 jewel-encrusted gold Mercedes Benz	driving
a	1959 Peugeot convertible	driving
a	1959 Rolls Royce Silver Cloud II convertible	driving
a	1960 Regency red  Jaguar Mark 2	driving
a	1961 Mercedes Benz 300SL Roadster	driving
a	1962 Chevrolet Corvette	driving
a	1962 Ghia L6.4 coupe	driving
a	1963 Chevrolet Impala	driving
a	1963 Jaguar Special	driving
a	1964 Aston Martin DB5	driving
a	1964 Cadillac Coupe de Ville convertible	driving
a	1964 Chevelle Malibu	driving
a	1965 Dodge Dart	driving
a	1966 Chevy Corvair	driving
a	1966 Jaguar E-Type	driving
a	1966 Lincoln Continental	driving
a	1966 Shelby Cobra	driving
a	1967 Chevrolet Impala	driving
a	1967 Lamborghini Miura P400	driving
a	1967 Shelby GT500	driving
a	1967 Triumph motorcycle	driving
a	1968 Dodge Challenger	driving
a	1968 Ford Mustang Shelby GT500 KR	driving
a	1968 Plymouth Belvedere	driving
a	1968 Pontiac Firebird 400	driving
a	1969 Corvette Stingray	driving
a	1969 Jaguar XKE	driving
a	1969 Porsche 911T Coupe	driving
a	1970 Chevrolet Nova	driving
a	1970 Dodge Swinger	driving
a	1971 Cadillac limousine	driving
a	1972 Ferrari Dino 246GT	driving
a	1972 Ford Galaxie 500	driving
a	1972 Rover P5	driving
a	1973 Chevrolet Chevelle Station Wagon	driving
a	1973 Ferrari 365 GTB/4 Daytona	driving
a	1973 Lincoln Continental	driving
a	1973 Porsche 911 RSR	driving
a	1973 Stutz Blackhawk III	driving
a	1974 Plymouth Duster	driving
a	1979 Pontiac Firebird Trans Am	driving
a	1982 Toyota Supra	driving
a	1983 Chrysler LeBaron convertible	driving
a	1986 Toyota Tercel	driving
a	1995 Ford Taurus	driving
a	1995 Honda hatchback	driving
a	1995 Volvo 960 station wagon	driving
a	1998 Volvo V70	driving
a	2011 Jeep Grand Cherokee	driving
a	39 Dodge Coupe	driving
a	500cc Norton motorcycle	driving
a	54-seater clown car	driving
a	56m Vertigo yacht	sailing
a	63 black Oldsmobile 98	driving
a	74-Z speeder bike	driving
a	750 Monza spider	driving
a	914 Packard 2-38 Touring car	driving
a	951 Chrysler Windsor	driving
a	970 Mercedes-Benz 280SL	driving
an	ACME Rocket Sled	riding
an	Actung Baby Trabant	driving
an	Acura TSX	driving
an	Alfa Romeo Giulia GTA	driving
an	aluminum-gray DeSoto sedan	driving
an	ambulance chaser 3000	driving
an	AMC Gremlin	driving
the	Apollo 11 Moon Lander	driving
an	armored Cadillac	driving
an	armored car	driving
an	armored limousine	driving
an	armored Rolls Royce	driving
an	armored SUV	driving
an	armored towncar	driving
an	armored train	driving
an	Aston Martin DBS	driving
an	Aston Martin V12 Vantage Roadster	driving
an	Aston Martin Vanquish	driving
an	Aston Martin Vantage	driving
an	Audi A4	driving
an	Audi A8	driving
an	Audi R8	driving
an	Audi R8 Spyder	driving
an	Audi S7	driving
a	Bailey Roadster	driving
the	Batmobile	driving
a	battered yellow Ford Torino	driving
a	Bell 212 helicopter	flying
a	Bentley Arnage T	driving
a	Bentley Continental	driving
a	Bentley Continental GT	driving
a	Bentley Continental GTC	driving
a	Bentley Mk VI	driving
a	Bentley Mulsanne	driving
a	bicycle	cycling
a	Big Boy Rocket	riding
a	big-ass Escalade	driving
a	black 1965 Corvette	driving
	Black Beauty	driving
a	black Chevrolet armored SUV	driving
a	black Chrysler SUV	driving
a	black Escalade	driving
a	black Jaguar S-Type	driving
a	black limo	driving
a	black Porsche 911	driving
a	black Range Rover Sport SVR	driving
a	black Rolls Royce	driving
a	black SUV	driving
a	blue Mercedes-Benz S420	driving
a	Blue Steel SUV	driving
a	BMW 328	driving
a	BMW 540i E34	driving
a	BMW 735i	driving
a	BMW Bavaria	driving
a	BMW i3	driving
a	BMW M3 Roadster	driving
a	BMW motorcycle	riding
a	BMW X3	driving
a	BMW X5	driving
a	BMW Z8	driving
a	bobsled	riding
a	British Leyland Mini	driving
	Bucephalus	riding
a	bullet-proof limousine	driving
a	Burgundy Dodge Durango	driving
a	Cadillac CTS	driving
a	Cadillac CTS-V	driving
a	Cadillac DeVille	driving
a	Cadillac El Dorado	driving
a	Cadillac Eldorado Biarritz	driving
a	Cadillac Escalade hybrid	driving
a	Cadillac Fleetwood 75 Series	driving
a	Cadillac gas-guzzler	driving
a	camel	riding
a	Camo Tumbler	driving
a	canoe	rowing, paddling
a	cartoon jalopy	driving
a	Cesna	flying
a	Chevrolet Corvair	driving
a	Chevy Chevelle SS	driving
a	Chevy Suburban	driving
a	Chevy Volt	driving
the	Chocolate Wonka Ship	sailing
a	cloud of mist	flying on
a	clown car	driving
a	Cozy Coupe	driving
a	crutch	hobblingon
a	custom dentmobile	driving
	Da Vinci's helicopter	flying
a	Daimler Dart	driving
