Determiner	Weapon	Affordances
a	.22 caliber Colt	shooting with, pistol-whipping with
a	.38 Colt Special	shooting with, pistol-whipping with
a	.44 Magnum	shooting with, pistol-whipping with
	'roid rage	attacking with, overwhelming with
a	1-inch punch	stabbing with, puncturing with
a	12 Gauge Double Barreled Shotgun	shooting with, blasting with, peppering with
a	12-barreled gun carriage	shooting with, blasting with, peppering with
a	180-proof drunken belch	knocking out with
a	7-year itching powder	irritating with
a	7.65mm Walther PP	shooting with
	absolute power	dominating with
	acid wit	scarring with, burning with, withering with, tongue-lashing with
an	acid-filled water pistol	burning with, squirting with, pistol-whipping with
an	ACME anvil	walloping with, hitting with
an	ACME rocket launcher	bombing with, blowing up with
an	ACME time bomb	blowing up with
	ACME tornado seeds	blowing away with
	retractable Adamantium claws	slashing with, cutting with, stabbing with, gutting with
an	air gun concealed as a cane	shooting with
an	alien chestbuster	ripping apart with
	all-consuming ego	flattening with, crushing with
an	American flag-pole	impaling with, stabbing with
an	amplifier turned up to 11	deafening with
	anabolic steroids	poisoning with, dumbing down with
an	angry beehive	stinging with, 
an	angry rant	blistering with,, tongue-lashing with
	anti-logic	flattening with, crushing with
an	aphrodisiac overdose	poisoning with, misdirecting with
an	appeal to reason	confusing with, distracting with
	apt movie references	neutralizing with
	arcane Unix wizardry	enchanting with, hacking with
an	Argentinian steak knife	slashing with, cutting with, stabbing with
the	Ark of the Covenant	smiting with
	arsenic and old lace	poisoning with, dumbing down with, choking with
	assassine lyrics	inducing suicidal thoughts with
an	atomic guitar	atom-smashing with
an	austere cut	shaming with, humiliating with, 
	avuncular charm	neutralizing with, entrancing with, manipulating with
an	axe wrapped in twigs	slashing with, cutting with, hacking with
a	bacon slicer	slicing with, cutting with, slashing with
	bad acting	horrifying with, frightening away with, repelling with
	bad boy charm	neutralizing with, entrancing with, manipulating with
	bad breath	knocking out with, poisoning with
	bad cooking	poisoning with, sickening with
	bad jokes	frightening away with, repelling with
	bad puns	frightening away with, repelling with
	ballistic stock cubes	shooting with, bombarding with
a	balloon-animal garrote	choking with
a	banjo-string garrote	choking with
a	banshee wail	blowing away with, deafening with
	bare-knuckle fists	pummelling with, hammering with, battering with, beating black-and-blue with
	barrage of flying spoons	bombarding with
	barrage of pine needles	bombarding with, shredding with
	barrage of toothpicks	bombarding with, shredding with
a	barrow-blade	slashing with, cutting with, hacking with
	Bartitsu	beating black-and-blue with
a	baseball bat	beating black-and-blue with, beating senseless with
a	batarang	smiting with, knocking out with
a	bed pan	beating black-and-blue with, beating senseless with
a	belly flop	crushing with, flattening with, pancaking with
a	belly push	knocking senseless with
a	Beretta 92F	shooting with
a	Beretta M1934	shooting with
	big bazookas	shooting with
	big words	overwhelming with, confusing with
	bitchy put-downs	shaming with, humiliating with, tongue-lashing with
	black-belt Karate	beating black-and-blue with, ass-kicking with
	blackened teeth	horrifying with, frightening away with
	blinding dress sense	blinding with, frightening away with
a	blowpipe	immobilizing with, poisoning with, piercing with
the	blue screen of death	immobilizing with, poisoning with, piercing with
the	blue steel pose	enchanting with, petrifying with
	body odor	horrifying with, frightening away with
	Bombay belly	immobilizing with
a	booming Welsh voice	horrifying with, frightening away with
a	boot knife	slashing with, cutting with, stabbing with
a	bow and arrow	penetrating with, piercing with
a	Bowie knife	slashing with, cutting with, stabbing with
a	bowling ball	walloping with, hitting with
a	bra catapult	knocking over with, bombarding with
	brass knuckles	pummelling with, beating black-and-blue with
a	Bratwurst spike	stabbing with, puncturing with, piercing with
	brimstone and hellfire	frightening away with, burning with, damning with
a	broad sword	running through with, slashing with, cutting with, stabbing with
a	broken bottle	slashing with, cutting with, hacking with
a	burning oil sprayer	burning with, squirting with
a	burning Oyl slick	disorienting with, knocking over with
a	bus windscreen wiper	slashing with, whipping with
a	butcher knife	slashing with, cutting with, hacking with
	cactus needles	pricking with, shredding with, piercing with
a	Calcutta chokehold	choking with
a	Candle In The Wind	burning with
a	cane with retractable sword	whipping with, battering with, slashing with, cutting with, stabbing with, running through with
a	cannon	blowing away with
a	Carcano bolt-action rifle	shooting with
a	carpet beater	battering with, pummelling with
a	carving knife	slicing with, cutting with, slashing with
a	catapult	battering with
	caustic put-downs	tongue-lashing with, humiliating with
a	caustic wit	burning with, humiliating with
a	Neanderthal club	battering with, pummelling with
a	chainsaw	slicing with, cutting with, dismembering with
a	chair over the head	battering with, smashing with
a	chakram discus	slamming with, knocking out with
a	Chanel no. 5 atomizer	pepper-spraying with, poisoning with
a	cheap perfume	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
	chemical toxins	pepper-spraying with, poisoning with
	chemical weapons	poisoning with, sickening with
a	chiffon garrote	choking with
a	Chinese gunpowder rocket	exploding with, blowing up with
the	Chinese water-torture cell	drowning with
a	CIA death squad	targeting with, liquidating with
	cigar smoke	suffocating with, poisoning with
	retractable claws	slicing with, cutting with, slashing with
	cliched lyrics	sickening with, frightening away with
a	coconut catapult	pummelling with, bombarding with
	cold hands	shocking with
a	collectible replica phaser	frightening away with
a	Colt M1911	shooting with
a	Colt Peacemaker	shooting with
a	complaining voice	tongue-lashing with
	conical bra guns	shooting with
a	consumptive cough	frightening away with
a	contract on America	liquidating with
a	cornetto bazooka	shooting with
	cosmic rays	poisoning with, sickening with
a	croaky voice	frightening away with
a	crossbow	shooting with, targeting with
	cruel impressions	humiliating with, degrading with
a	crunching tackle	flattening with, crushing with
	cryptic crossword clues	confusing with
a	crystal cannonball	flattening with, crushing with
a	Cuban cigar cutter	slicing with, cutting with, dismembering with
a	cutlass	running through with, slashing with, cutting with, stabbing with
	cutting wit	humiliating with, degrading with
	cutting-edge malware	hacking with, undermining with, disorienting with
an	exploding dwarf	blowing away with
a	dandruff blizzard	suffocating with, disorienting with
	Darwin's bulldog	brutalizing with, dismembering with
	Das Capital	battering with, pummelling with
	David's sling	targeting with, knocking out with
the	Death Car	running over with
a	deep-fat fryer	burning with
a	deep-structure transformation	herniating with
	delusions of adequacy	intimidating with
	depressing looks	fatally depressing with, withering with
	depressing songs	fatally depressing with, withering with
	derisive parody	humiliating with, degrading with
a	Desert Eagle semi-automatic pistol	shooting with, pistol-whipping with
	diamond-encrusted knuckle-dusters	pummelling with, beating black-and-blue with
a	dinosaur tooth	stabbing with, puncturing with, piercing with
a	dirty bomb	poisoning with, sickening with
a	disco medallion garrote	choking with
	Dobermann hounds	brutalizing with, dismembering with
	dodgy diet tips	sickening with, poisoning with
a	dog-leash garrote	choking with
a	doomsday weapon from outer space	intimidating with, obliterating with, reducing to ash with
a	Double Eagle kick	knocking out with, knocking senseless with
a	double-barrelled helix	entangling with
a	double-edged lightsaber	slashing with, cutting with, hacking with, dismembering with
a	drawing compass	stabbing with, puncturing with, piercing with
an	ear-lopping razor	slashing with, cutting with, hacking with, dismembering with
an	earnest stare	petrifying with, immobilizing with, 
an	incisive economics lecture	humiliating with, degrading with
an	electric shocker	shocking with, electrocuting with
an	electrified kite	shocking with, electrocuting with
an	electromagnetic pulse	shocking with, electrocuting with, devastating with
an	elephant gun	blowing away with
an	Eraserheadbutt	head-butting with, knocking out with
an	erratic magic wand	scatter-shooting with
	everyman charm	neutralizing with, entrancing with, manipulating with
an	exploding bicycle pump	blowing up with
	exploding bull-frogs	targeting with, liquidating with, blowing up with
a	car bomb	blowing up with
	exploding cigars	blowing up with
an	exploding corset	vaporizing with, ripping apart with
an	exploding disco ball	blowing up with
an	exploding gavel	blowing up with
	exploding gum drops	blowing up with
an	exploding hand-dryer	melting with, blowing up with
	exploding lemon tarts	ripping apart with, blowing up with
	exploding lightbulbs	blowing up with
an	exploding Linux kernel	blowing up with
an	exploding metronome	blowing up with
an	exploding Ming vase	blowing up with
an	exploding thurible	blowing up with
an	exploding urinal	blowing up with
	exploding vol-au-vents	ripping apart with, blowing up with
an	exploding whoopee cushion	blowing up with
an	explosive set-piece	blowing up with
an	exposed electrical cable	electrocuting with, electrifying with, shocking with
an	extension cord garrote	choking with
an	extra-sharp lamb skewer	stabbing with, puncturing with, piercing with
a	falchion	slashing with, cutting with, hacking with, dismembering with
	false nails	stabbing with, scarring with, scratching with
	family connections	intimidating with, crushing with, manipulating with
	fancy footwork	disorienting with, confusing with, wrong-footing with
a	fascist-killing guitar	snake-charming with
a	feather boa garrote	choking with
	feminine wiles	snake-charming with, neutralizing with, manipulating with
a	Festivus pole	running through with, battering with, stabbing with, clubbing with
a	flint-topped spear	running through with, slashing with, cutting with, stabbing with
a	flamethrower	burning with, squirting with
	flaming lips	French-kissing with, burning with
a	flaming toupee	burning with
a	flint knife	slashing with, cutting with, stabbing with
a	flintlock muff pistol	shooting with, pistol-whipping with
a	flintlock pistol	shooting with, pistol-whipping with
a	flying flip-flop	knocking out with, knocking senseless with
a	flying Karate kick	knocking out with, knocking senseless with
	flying ninja stars of David	shredding with, slashing with, perforating with
	foot-long fingernails	stabbing with, scarring with, scratching with, slashing with
a	footloose high kick	knocking out with, knocking senseless with
a	forehand smash	knocking out with, knocking senseless with, smashing with
a	forklift suit	battering with, pummelling with, running over with
a	foul-mouthed rant	blistering with,, tongue-lashing with
a	Fountainhead butt	head-butting with, knocking out with
	FOX News	traducing with, slandering with, bullying into submission with, confusing with
	freakshow goons	targeting with, intimidating with, bullying into submission with
	Freudian mind-tricks	manipulating with, hypnotizing with, entrancing with, controlling with, disorienting with
a	heartstopping fried banana sandwich	hardening arteries with, poisoning with, sickening with
a	frying pan	flattening with, crushing with, knocking out with
a	funny walk	disorienting with, confusing with, wrong-footing with
a	g-g-g-g-gun	s-s-s-shooting with
a	G.E. microwave death ray	frying with, melting with, poisoning with
a	gas gun	knocking out with, knocking senseless with
	gas pellets	knocking out with, knocking senseless with
a	mobster's gat	shooting with, peppering with
a	Gatling gun	shooting with, peppering with, shredding with
a	gelato scoop	gouging with
a	Ghostbusting power ray	frying with, melting with, poisoning with
	giant booty	disorientating with, enthralling with
a	giant frozen fishstick	battering with, pummelling with
a	giant invisible rabbit	disorienting with, confusing with, wrong-footing with
a	giant plastic dildo	battering with, pummelling with, running through with, stabbing with, ramming with, intimidating with
a	giant silver spoon	battering with, pummelling with, gouging with
a	giant USB stick	battering with, pummelling with, running through with, stabbing with, ramming with
a	giant wood splinter	stabbing with, puncturing with, piercing with
	gilded oratory	entrancing with, charming with, neutralizing with
a	gladiator short sword	running through with, slashing with, cutting with, stabbing with
	Glamdring	running through with, slashing with, cutting with, stabbing with
a	glass ashtray	battering with, pummelling with
	gleaming fangs	biting with, puncturing with, piercing with
a	glowing magic finger	entrancing with, immobilizing with, poking with
a	gold-plated barbell	battering with, pummelling with
a	gold-plated hammer and sickle	battering with, slashing with, hacking with
a	golden boot	ass-kicking with, kicking senseless with, kicking with
