Root	Antonym
elongated	stunted
thinskinned	thickskinned
tactful	tactless
orphaned	privileged
laconic	glib, garrulous, talkative, gossipy, chatty, long-winded, forthcoming
impudent	biddable, polite, obedient
unorganized	organized
willing	unwilling
noncontagious	infectious
inclusive	exclusive
uncut	cut
bald	bushy, hirsute, hairy, furred, handsome, furry
clairvoyant	blind
ephemeral	eternal, permanent
lecherous	chaste
vivid	colourless, colorless
imperceptible	perceptible
disenfranchised	influential
songful	shrill
trusted	untrustworthy
true	untruthful, false
fluid	petrified, clunky
directional	undirected
vacuous	substantial
appetising	unappetizing
charmless	charming
edgy	smooth
unwieldy	portable, usable, handy
whirling	motionless
compulsive	laidback
expressionless	articulate
seaworthy	unseaworthy
fiery	mild
fragile	steely, hardy, rugged, robust, reinforced, armored, vigorous, fortified, strong, sturdy, resilient, endurable, bulletproof, unbreakable, powerful, indestructible
uncoloured	colorful
traumatic	relaxing
ill	healthy
vanilla	exotic
trite	quirky, original
frank	coy
fervent	passionless
flying	earthbound
conversational	tightlipped
selfeffacing	arrogant
functional	useless, obsolete, decorative, nonfunctional
basic	peripheral, intricate, incidental, elaborate
intelligent	dumb, unintelligent, silly, brainless, stupid, moronic
tanned	untanned, pale, pallid
merry	distressed, uncomfortable, gloomy, angry, joyless, despairing, lonely, desolate, disgruntled, bitter, sad, unfortunate, troubled, miserable
tuneful	untuneful, shrill, unmelodious, tuneless
urbane	childish, unsophisticated
close_minded	openminded
confrontational	diffident
euphoric	distressed, unhappy
reviled	honored, adored, celebrated, venerated, worshipped, revered, august
sagging	pert
itchy	soothing
sterile	fertile, fecund
onedimensional	twodimensional, multifaceted, threedimensional
skilful	clumsy, unskilled
schematic	unconventional
lowborn	kingly, titled, noble
competitive	noncompetitive
impressive	inconspicuous, dull, trivial, inconsequential, unsubstantial, pathetic, irrelevant, silly, trifling, petty, unimpressive, flimsy
whipped	pampered, spoiled
scruffy	handsome
undeniable	deniable
south	north
withered	handsome
solicitous	inattentive, uncaring
caring	ruthless, heartless, mean, brutal, savage, unconcerned, predatory, uncaring, cruel, coldblooded
obsequious	arrogant, haughty, dominant
broken	functioning
predictable	tricky, unpredictable, unforeseeable, dramatic
disarranged	ordered
uncultivated	courtly, chivalrous
dire	wonderful
vanquished	conquering, triumphant, jubilant, winning
bushy	bald, hairless
ruthless	caring, compassionate
enslaved	unconstrained, emancipated, liberated, carefree, unrestrained, free
attainable	unreachable, unattainable
shackled	unconstrained, emancipated, liberated, carefree, unrestrained, free
shrewd	daft, clueless, naive, guileless, brainless
inky	clear
aboriginal	nonnative
innocent	guilty, culpable
religious	secular, irreligious
conquering	vanquished, demoralized, disgraced, battered, deposed, shamed, losing, dethroned, retreating, conquered, powerless, toppled, defeated, crushed, nonviolent
ethical	unethical
vain	modest
honorable	dishonourable, deceptive, corrupt, treacherous, dishonorable, despicable, ignoble, unscrupulous, evil, underhanded, sleazy, selfish, self-serving, cynical, dishonest, trashy, dissolute, depraved, contemptible, conniving, devious, unprofessional, deceitful, crooked, cruel, scummy, crass
dishonourable	honorable
purposeful	purposeless, aimless
pleased	displeased, disappointed
young	old, grizzled
vertical	horizontal
unprotected	protected, armored, secure, defensive
inconspicuous	impressive, eminent, conspicuous, famous
affectionate	gruff, unloving
tight	leaky, loose
mellifluous	hoarse, guttural
persuadable	immovable
disorganised	organized
frisky	lifeless, inert
