Root	Comparative
able	abler
absurd	absurder
acute	acuter
airy	airier
ancient	more ancient
angry	angrier
antsy	antsier
awesome	more awesome
awful	awfuller
bad	worse
bald	balder
balmy	balmier
bare	barer
batty	battier
bawdy	bawdier
beautiful	more beautiful
beefy	beefier
big	bigger
bitchy	bitchier
bitter	bitterer
black	blacker
bland	blander
blank	blanker
bleak	bleaker
blind	blinder
blithe	blither
blond	blonder
bloody	bloodier
blue	bluer
blunt	blunter
blurry	blurrier
bold	bolder
bony	bonier
bored	more bored
boring	more boring
bouncy	bouncier
brash	brasher
brassy	brassier
brave	braver
brawny	brawnier
breezy	breezier
brief	briefer
bright	brighter
brilliant	more brilliant
brisk	brisker
brittle	brittler
broad	broader
broke	broker
broody	broodier
brown	browner
bubbly	bubblier
buff	buffer
bulky	bulkier
bumpy	bumpier
burly	burlier
bushy	bushier
busy	busier
butch	butcher
calm	calmer
camp	camper
canny	cannier
catchy	catchier
catty	cattier
chaste	chaster
chatty	chattier
cheap	cheaper
cheeky	cheekier
cheerful	cheerfuller
cheery	cheerier
cheesy	cheesier
chewy	chewier
chic	chicer
chill	chiller
chilly	chillier
chirpy	chirpier
choppy	choppier
chubby	chubbier
chunky	chunkier
clammy	clammier
classy	classier
clean	cleaner
clear	clearer
clever	cleverer
close	closer
cloudy	cloudier
clumsy	clumsier
clunky	clunkier
coarse	coarser
cocky	cockier
cold	colder
comfy	comfier
common	commoner
compact	compacter
complete	completer
complex	more complex
cool	cooler
corny	cornier
correct	more correct
cosy	more cosy
costly	costlier
coy	coyer
cozy	cozier
crafty	craftier
craggy	craggier
cranky	crankier
crass	crasser
crazy	crazier
creaky	creakier
creamy	creamier
creepy	creepier
crisp	crisper
crispy	crispier
crooked	crookeder
cross	crosser
crude	cruder
cruel	crueler
crumbly	crumblier
crunchy	crunchier
crusty	crustier
cuddly	cuddlier
cunning	more cunning
curious	curiouser
curly	curlier
curvy	curvier
cushy	cushier
cut	cuter
daft	dafter
dainty	daintier
damp	damper
dank	danker
dark	darker
dead	deader
deadly	deadlier
deaf	deafer
dear	dearer
decent	decenter
deep	deeper
deft	defter
dense	denser
diffuse	diffuser
dim	dimmer
dingy	dingier
dire	more dire
dirty	dirtier
dizzy	dizzier
doughy	doughier
drab	drabber
drafty	draftier
dreamy	dreamier
dreary	drearier
dressy	dressier
dry	drier
droopy	droopier
drunk	drunker
dull	duller
dumb	dumber
dumpy	dumpier
dusty	dustier
earthy	earthier
edgy	edgier
empty	emptier
evil	more evil
expensive	more expensive
faint	fainter
fair	fairer
fake	faker
false	falser
famous	more famous
fast	faster
fat	fatter
fatty	fattier
feeble	feebler
feisty	feistier
fierce	fiercer
fiery	fierier
filthy	filthier
fine	finer
firm	firmer
fishy	fishier
fit	fitter
flabby	flabbier
flaky	flakier
flashy	flashier
flat	flatter
fleet	fleeter
fleshy	fleshier
flighty	flightier
flimsy	flimsier
floppy	floppier
fluffy	fluffier
foamy	foamier
folksy	folksier
foolish	more foolish
foreign	more foreign
foul	fouler
frail	more frail
frank	franker
free	freer
fresh	fresher
friendly	friendlier
frisky	friskier
frizzy	frizzier
frosty	frostier
frothy	frothier
fruity	fruitier
frumpy	frumpier
fugly	fuglier
full	fuller
funky	funkier
fun	funnier
funny	funnier
furry	furrier
fussy	fussier
fuzzy	fuzzier
game	gamer
gaudy	gaudier
gaunt	gaunter
gay	gayer
gentle	gentler
giddy	giddier
glad	gladder
glib	glibber
gloomy	gloomier
glossy	glossier
godly	godlier
gold	more golden
goofy	goofier
grand	grander
grave	graver
gray	grayer
greasy	greasier
great	greater
greedy	greedier
green	greener
grey	more grey
grimy	grimier
grim	grimmer
gritty	grittier
groggy	groggier
gross	grosser
gruff	gruffer
grumpy	grumpier
guilty	guiltier
hairy	hairier
handy	handier
handsome	handsomer
happy	happier
hard	harder
hardy	hardier
harsh	harsher
haughty	haughtier
hazy	hazier
heady	headier
healthy	healthier
heavy	heavier
hefty	heftier
high	higher
hoarse	hoarser
holy	holier
hollow	hollower
homely	homelier
honest	honester
horny	hornier
hot	hotter
huge	huger
humble	humbler
hungry	hungrier
husky	huskier
icy	icier
idle	idler
ill	more ill
intense	intenser
itchy	itchier
jolly	jollier
juicy	juicier
jumpy	jumpier
keen	keener
kind	kinder
kinky	kinkier
lame	lamer
lanky	lankier
large	larger
lazy	lazier
leaky	leakier
lean	leaner
left	more left
leggy	leggier
lengthy	lengthier
light	lighter
limp	limper
lit	liter
lively	livelier
lofty	loftier
lonely	lonelier
lonesome	more lonesome
long	longer
loony	loonier
loopy	loopier
loose	looser
lordly	more lordly
lost	more lost
loud	louder
lovely	lovelier
lowly	lowlier
lucky	luckier
lush	lusher
lusty	lustier
mad	madder
manly	manlier
mature	more mature
mean	meaner
meaty	meatier
meek	meeker
mellow	mellower
merry	merrier
messy	messier
mighty	mightier
mild	milder
milky	milkier
minute	more minute
modern	more modern
moist	moister
moody	moodier
mucky	muckier
muddy	muddier
murky	murkier
mushy	mushier
musty	mustier
mute	muter
naked	nakeder
narrow	narrower
nasty	nastier
naughty	naughtier
neat	neater
new	newer
nice	nicer
nimble	nimbler
noble	nobler
noisy	noisier
numb	number
nutty	nuttier
odd	odder
oily	oilier
old	older
open	opener
orange	oranger
ornery	ornerier
pale	paler
pasty	pastier
patchy	patchier
peachy	peachier
peppy	peppier
perfect	perfecter
perky	perkier
phony	phonier
pink	pinker
plain	plainer
pleasant	pleasanter
plucky	pluckier
plump	plumper
plush	plusher
polite	politer
poor	poorer
powerful	more powerful
pretty	prettier
prickly	pricklier
prim	primer
private	privateer
profound	profounder
prompt	prompter
proud	prouder
puffy	puffier
puny	punier
punk	punker
pure	purer
purple	purpler
quaint	quainter
queer	queerer
quick	quicker
quiet	quieter
quirky	quirkier
racy	racier
randy	randier
random	more random
rangy	rangier
rank	ranker
rapid	rapider
rare	rarer
raunchy	raunchier
raw	rawer
red	redder
remote	remoter
rich	richer
ripe	riper
risky	riskier
robust	more robust
rocky	rockier
roomy	roomier
rosy	rosier
rotten	rottener
rough	rougher
round	rounder
rowdy	rowdier
rude	ruder
rugged	ruggeder
runny	runnier
rusty	rustier
sacred	more sacred
sad	sadder
safe	safer
saintly	saintlier
salty	saltier
sandy	sandier
sappy	sappier
scaly	scalier
scarce	scarcer
scared	more scared
scary	scarier
scrappy	scrappier
scratchy	scratchier
scrawny	scrawnier
scummy	scummier
secure	more secure
seedy	seedier
serene	more serene
set	setter
severe	severer
sexy	sexier
shabby	shabbier
shady	shadier
shaggy	shaggier
shaky	shakier
shallow	shallower
shapely	shapelier
sharp	sharper
sheer	sheerer
shy	shier
shifty	shiftier
shiny	shinier
short	shorter
shot	more shot
showy	showier
shrewd	shrewder
shrill	shriller
sick	sicker
silent	silenter
silky	silkier
silly	sillier
simple	simpler
sincere	sincerer
skimpy	skimpier
skinny	skinnier
sleazy	sleazier
sleek	sleeker
sleepy	sleepier
slender	slenderer
slick	slicker
slight	slighter
slim	slimmer
slimy	slimier
slippery	slipperier
slippy	slippier
sloppy	sloppier
slow	slower
sly	slyer
small	smaller
smart	smarter
smelly	smellier
smoky	smokier
smooth	smoother
smug	smugger
snappy	snappier
sneaky	sneakier
snowy	snowier
snug	snugger
sober	soberer
soft	softer
soggy	soggier
solid	solider
soppy	soppier
sore	sorer
sorry	sorrier
sound	sounder
sour	sourer
sparkly	sparklier
sparse	sparser
special	more special
speedy	speedier
spicy	spicier
spiky	spikier
spindly	spindlier
splashy	splashier
spongy	spongier
spooky	spookier
sporty	sportier
spotty	spottier
spread	spreader
spry	sprier
sprightly	sprightlier
springy	springier
spunky	spunkier
square	squarer
squat	squatter
squishy	squishier
stable	stabler
stale	staler
stark	starker
stately	statelier
staunch	stauncher
steady	steadier
stealthy	stealthier
steamy	steamier
steely	steelier
steep	steeper
stern	sterner
sticky	stickier
stiff	stiffer
still	stiller
stingy	stingier
stinky	stinkier
stout	stouter
straight	straighter
strange	stranger
stretchy	stretchier
strict	stricter
stringy	stringier
strong	stronger
stubborn	stubborner
stupid	stupider
sturdy	sturdier
suave	suaver
sublime	sublimer
subtle	subtler
sunny	sunnier
supple	suppler
swanky	swankier
swarthy	swarthier
sweet	sweeter
swift	swifter
tall	taller
tame	tamer
tangy	tangier
tan	tanner
tart	tarter
tasty	tastier
taut	tauter
tawny	tawnier
teeny	teenier
tender	tenderer
tense	tenser
terrible	more terrible
terse	terser
thick	thicker
thin	thiner
thirsty	thirstier
thorny	thornier
tidy	tidier
tight	tighter
timid	timider
tiny	tinier
tinny	tinnier
tired	tireder
tough	tougher
tricky	trickier
trim	trimmer
true	truer
trusty	trustier
trustworthy	trustworthier
twisty	twistier
ugly	uglier
uneasy	uneasier
unhappy	unhappier
unhealthy	unhealthier
unkind	unkinder
unlucky	unluckier
unsafe	unsafer
untidy	untidier
vague	vaguer
vain	vainer
vast	vaster
vile	viler
vivid	vivider
wacky	wackier
wary	warier
warm	warmer
wavy	wavier
weak	weaker
wealthy	wealthier
weighty	weightier
weird	weirder
welcome	welcomer
western	westerner
wet	wetter
whacky	whackier
white	whiter
wholesome	more wholesome
wicked	wickeder
wide	wider
wild	wilder
wily	wilier
windy	windier
wise	wiser
wispy	wispier
witty	wittier
wobbly	wobblier
woody	woodier
woolly	woollier
worthy	worthier
wrinkly	wrinklier
wrong	wronger
yellow	yellower
young	younger
yummy	yummier
Byzantine	more Byzantine
Catholic	more Catholic
Christian	more Christian
abandoned	more abandoned
abhorrent	more abhorrent
abiding	more abiding
abnormal	more abnormal
aboriginal	more aboriginal
aborted	more aborted
abraded	more abraded
abrasive	more abrasive
abridged	more abridged
abroad	more abroad
abrupt	more abrupt
absent	more absent
absentminded	more absentminded
absolute	more absolute
absorbent	more absorbent
absorbing	more absorbing
abstinent	more abstinent
abstract	more abstract
abundant	more abundant
abused	more abused
abusing	more abusing
abusive	more abusive
abutting	more abutting
accelerating	more accelerating
acceptable	more acceptable
accepted	more accepted
accepting	more accepting
accessible	more accessible
acclaimed	more acclaimed
accommodated	more accommodated
accommodating	more accommodating
accompanying	more accompanying
accomplished	more accomplished
accountable	more accountable
accounting	more accounting
accredited	more accredited
accrued	more accrued
accumulated	more accumulated
accumulating	more accumulating
accurate	more accurate
accused	more accused
accusing	more accusing
acerbic	more acerbic
achieved	more achieved
aching	more aching
acid	more acid
acidic	more acidic
acknowledged	more acknowledged
acknowledging	more acknowledging
acquired	more acquired
acrid	more acrid
acrobatic	more acrobatic
acting	more acting
activated	more activated
activating	more activating
active	more active
activist	more activist
actuating	more actuating
adaptable	more adaptable
adapting	more adapting
adaptive	more adaptive
addicted	more addicted
addicting	more addicting
addictive	more addictive
adding	more adding
addled	more addled
addressed	more addressed
adept	more adept
adequate	more adequate
adhering	more adhering
