Root	Superlative
able	ablest
hilarious	most hilarious
absolute	most absolute
absurd	absurdest
active	most active
acute	most acute
adroit	most adroit
airy	airiest
alert	most alert
amazing	most amazing
ancient	most ancient
angry	angriest
astute	most astute
austere	most austere
awesome	most awesome
awful	most awful
awkward	awkwardest
bad	worst
bald	baldest
balmy	balmiest
bare	barest
barren	barrenest
batty	battiest
bawdy	bawdiest
beautiful	most beautiful
beefy	beefiest
big	biggest
bitchy	bitchiest
bitter	bitterest
black	blackest
bland	blandest
blank	blankest
bleak	bleakest
blessed	blessedest
blind	blindest
blithe	blithest
blonde	blondest
bloody	bloodiest
bloodthirsty	bloodthirstiest
blue	bluest
blunt	bluntest
blurry	blurriest
bold	boldest
bony	boniest
bouncy	bounciest
brash	brashest
brassy	brassiest
brave	bravest
brawny	brawniest
breezy	breeziest
brief	briefest
bright	brightest
briny	briniest
brisk	briskest
brittle	brittlest
broad	broadest
broody	broodiest
brown	brownest
bubbly	bubbliest
bulky	bulkiest
bumpy	bumpiest
burly	burliest
bushy	bushiest
busy	busiest
buttery	butteriest
calm	calmest
canny	canniest
capable	capablest
careful	carefullest
catchy	catchiest
catty	cattiest
chaste	chastest
chatty	chattiest
cheap	cheapest
cheeky	cheekiest
cheerful	most cheerful
cheery	cheeriest
cheesy	cheesiest
chewy	chewiest
chic	chicest
chill	chillest
chilly	chilliest
chirpy	chirpiest
choppy	choppiest
chubby	chubbiest
chunky	chunkiest
clammy	clammiest
classy	classiest
clean	cleanest
clear	clearest
clever	cleverest
close	closest
cloudy	cloudiest
clumsy	clumsiest
clunky	clunkiest
coarse	coarsest
cocky	cockiest
cold	coldest
comfy	comfiest
common	commonest
compact	most compact
complete	most complete
concise	most concise
cool	coolest
corny	corniest
cosy	coziest
costly	costliest
courtly	courtliest
coy	coyest
cozy	coziest
crafty	craftiest
craggy	craggiest
cranky	crankiest
crass	crassest
crazy	craziest
creaky	creakiest
creamy	creamiest
creepy	creepiest
crisp	crispest
crispy	crispiest
crooked	crookedest
cross	crossest
crude	crudest
cruel	cruelest
crumbly	crumbliest
crunchy	crunchiest
crusty	crustiest
cuddly	cuddliest
cunning	most cunning
curious	most curious
curly	curliest
curvy	curviest
cushy	cushiest
cute	cutest
daft	daftest
dainty	daintiest
damned	damnedest
damp	dampest
dandy	dandiest
dank	dankest
dark	darkest
darned	darnedest
dead	deadest
deadly	deadliest
deaf	deafest
dear	dearest
decent	most decent
